Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1200.0000;-56.9200;-54.7600;-2.1600
1200.1990;-56.8200;-54.7300;-2.0900
1200.3980;-56.7600;-54.7000;-2.0600
1200.5970;-56.8000;-54.6700;-2.1300
1200.7970;-56.7700;-54.6400;-2.1300
1200.9960;-56.7200;-54.6100;-2.1100
1201.1950;-56.6500;-54.5600;-2.0900
1201.3940;-56.6300;-54.5300;-2.1000
1201.5930;-56.6100;-54.4900;-2.1200
1201.7920;-56.5400;-54.4200;-2.1200
1201.9910;-56.5000;-54.3800;-2.1200
1202.1900;-56.4200;-54.3300;-2.0900
1202.3890;-56.3600;-54.2800;-2.0800
1202.5890;-56.3400;-54.2200;-2.1200
1202.7880;-56.2600;-54.1600;-2.1000
1202.9870;-56.1700;-54.1200;-2.0500
1203.1860;-56.1000;-54.0600;-2.0400
1203.3850;-56.0700;-54.0100;-2.0600
1203.5840;-56.0200;-53.9700;-2.0500
1203.7830;-55.9000;-53.9100;-1.9900
1203.9820;-55.8700;-53.9000;-1.9700
1204.1810;-55.8300;-53.8400;-1.9900
1204.3810;-55.7600;-53.8000;-1.9600
1204.5800;-55.6900;-53.7700;-1.9200
1204.7790;-55.6400;-53.7300;-1.9100
1204.9780;-55.6200;-53.7100;-1.9100
1205.1770;-55.5700;-53.6600;-1.9100
1205.3760;-55.5000;-53.6500;-1.8500
1205.5750;-55.4800;-53.6300;-1.8500
1205.7740;-55.4700;-53.6000;-1.8700
1205.9740;-55.4500;-53.5900;-1.8600
1206.1730;-55.3900;-53.5600;-1.8300
1206.3720;-55.3400;-53.5400;-1.8000
1206.5710;-55.3600;-53.5200;-1.8400
1206.7700;-55.3300;-53.4900;-1.8400
1206.9690;-55.2900;-53.4600;-1.8300
1207.1680;-55.2500;-53.4200;-1.8300
1207.3670;-55.2200;-53.4000;-1.8200
1207.5660;-55.2200;-53.3700;-1.8500
1207.7660;-55.1700;-53.3200;-1.8500
1207.9650;-55.1200;-53.3000;-1.8200
1208.1640;-55.0800;-53.2500;-1.8300
1208.3630;-55.0600;-53.1900;-1.8700
1208.5620;-55.0400;-53.1500;-1.8900
1208.7610;-54.9400;-53.1100;-1.8300
1208.9600;-54.8800;-53.0500;-1.8300
1209.1590;-54.8700;-52.9800;-1.8900
1209.3580;-54.8000;-52.9300;-1.8700
1209.5580;-54.7300;-52.8900;-1.8400
1209.7570;-54.6700;-52.8200;-1.8500
1209.9560;-54.6500;-52.7700;-1.8800
1210.1550;-54.5900;-52.7100;-1.8800
1210.3540;-54.5100;-52.6500;-1.8600
1210.5530;-54.4900;-52.6200;-1.8700
1210.7520;-54.4500;-52.5600;-1.8900
1210.9510;-54.3900;-52.5200;-1.8700
1211.1500;-54.3500;-52.4600;-1.8900
1211.3500;-54.3000;-52.4100;-1.8900
1211.5490;-54.2800;-52.3900;-1.8900
1211.7480;-54.2500;-52.3300;-1.9200
1211.9470;-54.2200;-52.3000;-1.9200
1212.1460;-54.1700;-52.2600;-1.9100
1212.3450;-54.1400;-52.2200;-1.9200
1212.5440;-54.1600;-52.2100;-1.9500
1212.7430;-54.1100;-52.1700;-1.9400
1212.9430;-54.0600;-52.1400;-1.9200
1213.1420;-54.0500;-52.1000;-1.9500
1213.3410;-54.0500;-52.0700;-1.9800
1213.5400;-54.0100;-52.0500;-1.9600
1213.7390;-53.9600;-52.0000;-1.9600
1213.9380;-53.9500;-51.9800;-1.9700
1214.1370;-53.9300;-51.9300;-2.0000
1214.3360;-53.8600;-51.8800;-1.9800
1214.5350;-53.8400;-51.8600;-1.9800
1214.7350;-53.8000;-51.8100;-1.9900
1214.9340;-53.7500;-51.7600;-1.9900
1215.1330;-53.7100;-51.7000;-2.0100
1215.3320;-53.6400;-51.6400;-2.0000
1215.5310;-53.6100;-51.6100;-2.0000
1215.7300;-53.5500;-51.5400;-2.0100
1215.9290;-53.4900;-51.4900;-2.0000
1216.1280;-53.4200;-51.4200;-2.0000
1216.3270;-53.3400;-51.3600;-1.9800
1216.5270;-53.3200;-51.3100;-2.0100
1216.7260;-53.2500;-51.2400;-2.0100
1216.9250;-53.1700;-51.1800;-1.9900
1217.1240;-53.1200;-51.1100;-2.0100
1217.3230;-53.0700;-51.0500;-2.0200
1217.5220;-53.0300;-51.0100;-2.0200
1217.7210;-52.9400;-50.9400;-2.0000
1217.9200;-52.9000;-50.9000;-2.0000
1218.1200;-52.8500;-50.8300;-2.0200
1218.3190;-52.8000;-50.7900;-2.0100
1218.5180;-52.7700;-50.7500;-2.0200
1218.7170;-52.7100;-50.7000;-2.0100
1218.9160;-52.6700;-50.6700;-2.0000
1219.1150;-52.6300;-50.6100;-2.0200
1219.3140;-52.5800;-50.5700;-2.0100
1219.5130;-52.5600;-50.5400;-2.0200
1219.7120;-52.5200;-50.5100;-2.0100
1219.9120;-52.4900;-50.4700;-2.0200
1220.1110;-52.4300;-50.4200;-2.0100
1220.3100;-52.3800;-50.3800;-2.0000
1220.5090;-52.3700;-50.3400;-2.0300
1220.7080;-52.3200;-50.2900;-2.0300
1220.9070;-52.2700;-50.2600;-2.0100
1221.1060;-52.2200;-50.2000;-2.0200
1221.3050;-52.1700;-50.1400;-2.0300
1221.5040;-52.1300;-50.0900;-2.0400
1221.7040;-52.0600;-50.0200;-2.0400
1221.9030;-52.0100;-49.9700;-2.0400
1222.1020;-51.9400;-49.8900;-2.0500
1222.3010;-51.8800;-49.8300;-2.0500
1222.5000;-51.8200;-49.7600;-2.0600
1222.6990;-51.7400;-49.6900;-2.0500
1222.8980;-51.6800;-49.6300;-2.0500
1223.0970;-51.6100;-49.5400;-2.0700
1223.2970;-51.5300;-49.4700;-2.0600
1223.4960;-51.4600;-49.3900;-2.0700
1223.6950;-51.3900;-49.3100;-2.0800
1223.8940;-51.3300;-49.2500;-2.0800
1224.0930;-51.2500;-49.1700;-2.0800
1224.2920;-51.1900;-49.1000;-2.0900
1224.4910;-51.1300;-49.0300;-2.1000
1224.6900;-51.0700;-48.9600;-2.1100
1224.8890;-51.0000;-48.9100;-2.0900
1225.0890;-50.9500;-48.8400;-2.1100
1225.2880;-50.8900;-48.7700;-2.1200
1225.4870;-50.8500;-48.7200;-2.1300
1225.6860;-50.7900;-48.6600;-2.1300
