Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1550.0000;-210.0000;-24.1800;-185.8200
1550.1000;-210.0000;-24.1700;-185.8300
1550.2000;-210.0000;-24.1500;-185.8500
1550.3000;-210.0000;-24.1400;-185.8600
1550.4000;-210.0000;-24.1200;-185.8800
1550.5000;-92.5300;-24.1000;-68.4300
1550.6000;-89.4800;-24.0900;-65.3900
1550.7000;-86.7600;-24.0700;-62.6900
1550.8000;-84.7800;-24.0500;-60.7300
1550.9000;-84.3900;-24.0300;-60.3600
1551.0000;-84.3100;-24.0200;-60.2900
1551.1000;-84.1100;-24.0000;-60.1100
1551.2000;-84.1300;-23.9800;-60.1500
1551.3000;-83.9600;-23.9600;-60.0000
1551.4000;-83.9200;-23.9400;-59.9800
1551.5000;-84.0100;-23.9200;-60.0900
1551.6000;-84.4800;-23.9000;-60.5800
1551.7000;-85.7600;-23.8800;-61.8800
1551.8000;-87.6000;-23.8600;-63.7400
1551.9000;-88.2000;-23.8400;-64.3600
1552.0000;-87.8500;-23.8200;-64.0300
1552.1000;-88.4300;-23.8100;-64.6200
1552.2000;-89.2800;-23.7900;-65.4900
1552.3000;-89.4700;-23.7700;-65.7000
1552.4000;-90.2800;-23.7600;-66.5200
1552.5000;-91.8600;-23.7400;-68.1200
1552.6000;-91.9600;-23.7200;-68.2400
1552.7000;-89.7200;-23.7100;-66.0100
1552.8000;-87.1400;-23.6900;-63.4500
1552.9000;-86.3600;-23.6700;-62.6900
1553.0000;-86.0400;-23.6600;-62.3800
1553.1000;-85.2600;-23.6400;-61.6200
1553.2000;-85.1500;-23.6300;-61.5200
1553.3000;-85.3900;-23.6100;-61.7800
1553.4000;-85.0700;-23.5900;-61.4800
1553.5000;-84.8500;-23.5800;-61.2700
1553.6000;-84.8700;-23.5600;-61.3100
1553.7000;-85.4300;-23.5400;-61.8900
1553.8000;-87.2500;-23.5300;-63.7200
1553.9000;-89.3000;-23.5100;-65.7900
1554.0000;-91.8600;-23.4900;-68.3700
1554.1000;-210.0000;-23.4800;-186.5200
1554.2000;-210.0000;-23.4700;-186.5300
1554.3000;-210.0000;-23.4500;-186.5500
1554.4000;-210.0000;-23.4400;-186.5600
1554.5000;-104.4500;-23.4200;-81.0300
1554.6000;-101.9300;-23.4000;-78.5300
1554.7000;-96.9700;-23.3900;-73.5800
1554.8000;-91.7000;-23.3700;-68.3300
1554.9000;-89.7900;-23.3600;-66.4300
1555.0000;-89.1500;-23.3400;-65.8100
1555.1000;-88.6000;-23.3200;-65.2800
1555.2000;-87.7800;-23.3100;-64.4700
1555.3000;-87.4500;-23.2900;-64.1600
1555.4000;-87.9800;-23.2700;-64.7100
1555.5000;-88.2100;-23.2500;-64.9600
1555.6000;-87.2100;-23.2400;-63.9700
1555.7000;-86.8100;-23.2200;-63.5900
1555.8000;-86.8100;-23.2000;-63.6100
1555.9000;-86.2000;-23.1900;-63.0100
1556.0000;-85.7700;-23.1700;-62.6000
1556.1000;-85.7400;-23.1600;-62.5800
1556.2000;-85.9700;-23.1400;-62.8300
1556.3000;-86.2200;-23.1200;-63.1000
1556.4000;-86.5400;-23.1100;-63.4300
1556.5000;-86.8000;-23.0900;-63.7100
1556.6000;-87.5800;-23.0800;-64.5000
1556.7000;-88.1900;-23.0600;-65.1300
1556.8000;-88.4700;-23.0500;-65.4200
1556.9000;-89.4600;-23.0300;-66.4300
1557.0000;-90.5600;-23.0200;-67.5400
1557.1000;-90.5300;-23.0000;-67.5300
1557.2000;-90.5300;-22.9900;-67.5400
1557.3000;-91.6600;-22.9700;-68.6900
1557.4000;-92.0400;-22.9600;-69.0800
1557.5000;-94.4000;-22.9400;-71.4600
1557.6000;-94.3000;-22.9300;-71.3700
1557.7000;-91.4600;-22.9100;-68.5500
1557.8000;-91.8800;-22.9000;-68.9800
1557.9000;-92.7900;-22.8800;-69.9100
1558.0000;-92.1700;-22.8600;-69.3100
1558.1000;-92.8500;-22.8500;-70.0000
1558.2000;-92.7900;-22.8300;-69.9600
1558.3000;-91.1500;-22.8100;-68.3400
1558.4000;-91.6800;-22.8000;-68.8800
1558.5000;-92.2300;-22.7800;-69.4500
1558.6000;-91.1000;-22.7600;-68.3400
1558.7000;-90.0700;-22.7500;-67.3200
1558.8000;-88.6300;-22.7300;-65.9000
1558.9000;-87.4200;-22.7200;-64.7000
1559.0000;-86.6300;-22.7000;-63.9300
1559.1000;-85.8800;-22.6900;-63.1900
1559.2000;-85.6500;-22.6700;-62.9800
1559.3000;-86.4000;-22.6600;-63.7400
1559.4000;-86.9600;-22.6500;-64.3100
1559.5000;-87.4100;-22.6300;-64.7800
1559.6000;-89.8500;-22.6200;-67.2300
1559.7000;-92.3000;-22.6100;-69.6900
1559.8000;-93.0000;-22.5900;-70.4100
1559.9000;-94.9800;-22.5800;-72.4000
1560.0000;-96.6800;-22.5700;-74.1100
1560.1000;-96.6700;-22.5500;-74.1200
1560.2000;-92.5100;-22.5400;-69.9700
1560.3000;-89.5700;-22.5200;-67.0500
1560.4000;-87.8900;-22.5100;-65.3800
1560.5000;-86.4900;-22.4900;-64.0000
1560.6000;-85.5300;-22.4800;-63.0500
1560.7000;-85.5100;-22.4700;-63.0400
1560.8000;-85.4500;-22.4500;-63.0000
1560.9000;-84.9400;-22.4400;-62.5000
1561.0000;-84.5300;-22.4300;-62.1000
1561.1000;-84.5700;-22.4200;-62.1500
1561.2000;-85.1500;-22.4100;-62.7400
1561.3000;-85.2900;-22.3900;-62.9000
1561.4000;-85.3800;-22.3800;-63.0000
1561.5000;-85.6200;-22.3700;-63.2500
1561.6000;-85.8500;-22.3600;-63.4900
1561.7000;-86.2000;-22.3400;-63.8600
1561.8000;-87.1300;-22.3300;-64.8000
1561.9000;-90.1000;-22.3200;-67.7800
1562.0000;-95.8900;-22.3100;-73.5800
1562.1000;-97.7200;-22.2900;-75.4300
1562.2000;-100.5800;-22.2800;-78.3000
1562.3000;-210.0000;-22.2700;-187.7300
1562.4000;-210.0000;-22.2500;-187.7500
1562.5000;-210.0000;-22.2400;-187.7600
1562.6000;-210.0000;-22.2300;-187.7700
1562.7000;-210.0000;-22.2100;-187.7900
1562.8000;-210.0000;-22.2000;-187.8000
1562.9000;-95.2900;-22.1900;-73.1000
1563.0000;-90.4900;-22.1700;-68.3200
1563.1000;-90.0400;-22.1600;-67.8800
1563.2000;-88.6700;-22.1500;-66.5200
1563.3000;-87.3900;-22.1300;-65.2600
1563.4000;-86.6500;-22.1200;-64.5300
1563.5000;-85.9100;-22.1100;-63.8000
1563.6000;-85.8500;-22.0900;-63.7600
1563.7000;-86.7700;-22.0800;-64.6900
1563.8000;-87.5100;-22.0700;-65.4400
