Filename,N_ext,DGD_ps,PMD_Coeff,Delta_dB
1.csv,13,0.4369,3.0892,0.74
10.csv,14,0.4705,3.3268,0.64
100.csv,16,0.5377,3.8021,0.45
11.csv,16,0.5377,3.8021,0.49
12.csv,14,0.4705,3.3268,0.74
13.csv,17,0.5713,4.0397,0.58
14.csv,15,0.5041,3.5645,0.39
15.csv,15,0.5041,3.5645,0.67
16.csv,16,0.5377,3.8021,0.38
17.csv,16,0.5377,3.8021,0.81
18.csv,15,0.5041,3.5645,0.77
19.csv,16,0.5377,3.8021,0.45
2.csv,16,0.5377,3.8021,0.45
20.csv,10,0.3361,2.3763,0.71
21.csv,14,0.4705,3.3268,0.32
22.csv,18,0.6049,4.2773,0.39
23.csv,14,0.4705,3.3268,0.41
24.csv,14,0.4705,3.3268,0.67
25.csv,15,0.5041,3.5645,0.78
26.csv,14,0.4705,3.3268,0.26
27.csv,17,0.5713,4.0397,0.29
28.csv,14,0.4705,3.3268,0.45
29.csv,14,0.4705,3.3268,0.62
3.csv,14,0.4705,3.3268,0.78
30.csv,14,0.4705,3.3268,0.67
31.csv,14,0.4705,3.3268,0.44
32.csv,17,0.5713,4.0397,0.32
33.csv,16,0.5377,3.8021,0.78
34.csv,15,0.5041,3.5645,0.39
35.csv,16,0.5377,3.8021,0.48
36.csv,14,0.4705,3.3268,0.52
37.csv,14,0.4705,3.3268,0.51
38.csv,16,0.5377,3.8021,0.61
39.csv,14,0.4705,3.3268,0.64
4.csv,14,0.4705,3.3268,0.60
40.csv,14,0.4705,3.3268,0.74
41.csv,17,0.5713,4.0397,0.60
42.csv,16,0.5377,3.8021,0.55
43.csv,17,0.5713,4.0397,0.41
44.csv,14,0.4705,3.3268,0.71
45.csv,8,0.2688,1.9010,0.55
46.csv,17,0.5713,4.0397,0.45
47.csv,14,0.4705,3.3268,0.52
48.csv,14,0.4705,3.3268,0.73
49.csv,14,0.4705,3.3268,0.32
5.csv,17,0.5713,4.0397,0.35
50.csv,15,0.5041,3.5645,1.02
51.csv,14,0.4705,3.3268,0.55
52.csv,16,0.5377,3.8021,0.70
53.csv,13,0.4369,3.0892,1.15
54.csv,14,0.4705,3.3268,0.58
55.csv,14,0.4705,3.3268,0.68
56.csv,14,0.4705,3.3268,0.73
57.csv,14,0.4705,3.3268,0.70
58.csv,11,0.3697,2.6139,0.86
59.csv,14,0.4705,3.3268,0.74
6.csv,15,0.5041,3.5645,0.92
60.csv,15,0.5041,3.5645,0.87
61.csv,14,0.4705,3.3268,0.78
62.csv,16,0.5377,3.8021,0.42
63.csv,14,0.4705,3.3268,0.64
64.csv,14,0.4705,3.3268,0.60
65.csv,14,0.4705,3.3268,0.71
66.csv,13,0.4369,3.0892,0.76
67.csv,14,0.4705,3.3268,0.62
68.csv,14,0.4705,3.3268,0.49
69.csv,6,0.2016,1.4258,1.79
7.csv,12,0.4033,2.8516,0.51
70.csv,17,0.5713,4.0397,0.41
71.csv,14,0.4705,3.3268,0.64
72.csv,14,0.4705,3.3268,0.51
73.csv,14,0.4705,3.3268,0.89
74.csv,15,0.5041,3.5645,0.80
75.csv,15,0.5041,3.5645,0.55
76.csv,14,0.4705,3.3268,0.44
77.csv,15,0.5041,3.5645,0.45
78.csv,14,0.4705,3.3268,0.30
79.csv,12,0.4033,2.8516,0.30
8.csv,17,0.5713,4.0397,0.33
80.csv,14,0.4705,3.3268,0.42
81.csv,8,0.2688,1.9010,0.27
82.csv,14,0.4705,3.3268,0.62
83.csv,8,0.2688,1.9010,1.81
84.csv,16,0.5377,3.8021,0.45
85.csv,15,0.5041,3.5645,1.13
86.csv,16,0.5377,3.8021,0.74
87.csv,14,0.4705,3.3268,0.36
88.csv,12,0.4033,2.8516,0.30
89.csv,15,0.5041,3.5645,0.57
9.csv,14,0.4705,3.3268,0.45
90.csv,14,0.4705,3.3268,0.52
91.csv,10,0.3361,2.3763,0.36
92.csv,15,0.5041,3.5645,1.00
93.csv,14,0.4705,3.3268,0.45
94.csv,16,0.5377,3.8021,0.52
95.csv,15,0.5041,3.5645,0.60
96.csv,15,0.5041,3.5645,0.41
97.csv,15,0.5041,3.5645,0.62
98.csv,15,0.5041,3.5645,1.08
99.csv,14,0.4705,3.3268,0.61
