Filename,N_ext,DGD_ps,PMD_Coeff,Delta_dB
1.csv,48,0.7127,3.5636,0.30
10.csv,47,0.6979,3.4893,0.36
100.csv,38,0.5642,2.8211,0.64
11.csv,46,0.6830,3.4151,0.39
12.csv,39,0.5791,2.8954,0.65
13.csv,40,0.5939,2.9696,0.90
14.csv,44,0.6533,3.2666,0.26
15.csv,41,0.6088,3.0439,1.11
16.csv,44,0.6533,3.2666,0.52
17.csv,46,0.6830,3.4151,0.73
18.csv,41,0.6088,3.0439,0.39
19.csv,41,0.6088,3.0439,0.55
2.csv,44,0.6533,3.2666,0.57
20.csv,44,0.6533,3.2666,1.02
21.csv,46,0.6830,3.4151,0.62
22.csv,46,0.6830,3.4151,0.58
23.csv,47,0.6979,3.4893,0.42
24.csv,44,0.6533,3.2666,0.76
25.csv,46,0.6830,3.4151,0.84
26.csv,44,0.6533,3.2666,0.60
27.csv,43,0.6385,3.1923,0.48
28.csv,45,0.6682,3.3408,0.33
29.csv,46,0.6830,3.4151,0.74
3.csv,50,0.7424,3.7120,0.39
30.csv,46,0.6830,3.4151,0.46
31.csv,44,0.6533,3.2666,0.46
32.csv,46,0.6830,3.4151,0.48
33.csv,40,0.5939,2.9696,0.83
34.csv,45,0.6682,3.3408,0.74
35.csv,44,0.6533,3.2666,0.51
36.csv,43,0.6385,3.1923,0.73
37.csv,46,0.6830,3.4151,0.68
38.csv,44,0.6533,3.2666,0.96
39.csv,41,0.6088,3.0439,0.33
4.csv,43,0.6385,3.1923,0.38
40.csv,45,0.6682,3.3408,0.83
41.csv,44,0.6533,3.2666,0.52
42.csv,45,0.6682,3.3408,0.97
43.csv,44,0.6533,3.2666,0.64
44.csv,39,0.5791,2.8954,0.48
45.csv,45,0.6682,3.3408,0.73
46.csv,44,0.6533,3.2666,0.68
47.csv,40,0.5939,2.9696,1.18
48.csv,46,0.6830,3.4151,0.45
49.csv,47,0.6979,3.4893,0.33
5.csv,46,0.6830,3.4151,0.51
50.csv,44,0.6533,3.2666,0.52
51.csv,44,0.6533,3.2666,0.92
52.csv,46,0.6830,3.4151,0.60
53.csv,41,0.6088,3.0439,1.15
54.csv,46,0.6830,3.4151,0.80
55.csv,46,0.6830,3.4151,0.81
56.csv,48,0.7127,3.5636,0.46
57.csv,39,0.5791,2.8954,0.55
58.csv,42,0.6236,3.1181,0.90
59.csv,45,0.6682,3.3408,1.05
6.csv,39,0.5791,2.8954,0.71
60.csv,46,0.6830,3.4151,0.49
61.csv,47,0.6979,3.4893,0.42
62.csv,46,0.6830,3.4151,0.81
63.csv,45,0.6682,3.3408,0.42
64.csv,46,0.6830,3.4151,0.80
65.csv,48,0.7127,3.5636,0.42
66.csv,37,0.5494,2.7469,0.45
67.csv,42,0.6236,3.1181,1.02
68.csv,48,0.7127,3.5636,0.33
69.csv,50,0.7424,3.7120,0.32
7.csv,45,0.6682,3.3408,0.29
70.csv,47,0.6979,3.4893,0.25
71.csv,46,0.6830,3.4151,0.36
72.csv,45,0.6682,3.3408,0.32
73.csv,47,0.6979,3.4893,0.25
74.csv,39,0.5791,2.8954,0.49
75.csv,45,0.6682,3.3408,0.32
76.csv,40,0.5939,2.9696,1.12
77.csv,46,0.6830,3.4151,0.81
78.csv,48,0.7127,3.5636,0.44
79.csv,46,0.6830,3.4151,0.55
8.csv,44,0.6533,3.2666,0.84
80.csv,38,0.5642,2.8211,1.21
81.csv,39,0.5791,2.8954,0.64
82.csv,49,0.7276,3.6378,0.49
83.csv,41,0.6088,3.0439,0.27
84.csv,40,0.5939,2.9696,1.83
85.csv,42,0.6236,3.1181,0.61
86.csv,45,0.6682,3.3408,0.41
87.csv,47,0.6979,3.4893,0.58
88.csv,46,0.6830,3.4151,0.54
89.csv,47,0.6979,3.4893,0.57
9.csv,47,0.6979,3.4893,0.27
90.csv,41,0.6088,3.0439,1.13
91.csv,45,0.6682,3.3408,0.68
92.csv,46,0.6830,3.4151,0.96
93.csv,45,0.6682,3.3408,0.77
94.csv,44,0.6533,3.2666,0.87
95.csv,37,0.5494,2.7469,0.62
96.csv,39,0.5791,2.8954,0.57
97.csv,45,0.6682,3.3408,0.57
98.csv,46,0.6830,3.4151,0.42
99.csv,45,0.6682,3.3408,0.62
