Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1250.1000;-41.0600;-37.1300;-3.9300
1250.2000;-40.9200;-37.1300;-3.7900
1250.3000;-40.7900;-37.0200;-3.7700
1250.4000;-40.6600;-37.0200;-3.6400
1250.5000;-40.5400;-36.8800;-3.6600
1250.6000;-40.4300;-36.8800;-3.5500
1250.7000;-40.3200;-36.7600;-3.5600
1250.8000;-40.2100;-36.7600;-3.4500
1250.9000;-40.1100;-36.6600;-3.4500
1251.0000;-40.0200;-36.6600;-3.3600
1251.1000;-39.9300;-36.5200;-3.4100
1251.2000;-39.8400;-36.5200;-3.3200
1251.3000;-39.7700;-36.4100;-3.3600
1251.4000;-39.6900;-36.4100;-3.2800
1251.5000;-39.6200;-36.2900;-3.3300
1251.6000;-39.5600;-36.2900;-3.2700
1251.7000;-39.5000;-36.1600;-3.3400
1251.8000;-39.4400;-36.1600;-3.2800
1251.9000;-39.3900;-36.0300;-3.3600
1252.0000;-39.3400;-36.0300;-3.3100
1252.1000;-39.3000;-35.8900;-3.4100
1252.2000;-39.2600;-35.8900;-3.3700
1252.3000;-39.2300;-35.7400;-3.4900
1252.4000;-39.2000;-35.7400;-3.4600
1252.5000;-39.1700;-35.6300;-3.5400
1252.6000;-39.1500;-35.6300;-3.5200
1252.7000;-39.1300;-35.5000;-3.6300
1252.8000;-39.1200;-35.5000;-3.6200
1252.9000;-39.1000;-35.3600;-3.7400
1253.0000;-39.0900;-35.3600;-3.7300
1253.1000;-39.0900;-35.2200;-3.8700
1253.2000;-39.0800;-35.2200;-3.8600
1253.3000;-39.0800;-35.0900;-3.9900
1253.4000;-39.0800;-35.0900;-3.9900
1253.5000;-39.0800;-34.9400;-4.1400
1253.6000;-39.0900;-34.9400;-4.1500
1253.7000;-39.0900;-34.8200;-4.2700
1253.8000;-39.1000;-34.8200;-4.2800
1253.9000;-39.1000;-34.6800;-4.4200
1254.0000;-39.1100;-34.6800;-4.4300
1254.1000;-39.1100;-34.5400;-4.5700
1254.2000;-39.1200;-34.5400;-4.5800
1254.3000;-39.1200;-34.4000;-4.7200
1254.4000;-39.1300;-34.4000;-4.7300
1254.5000;-39.1300;-34.2700;-4.8600
1254.6000;-39.1200;-34.2700;-4.8500
1254.7000;-39.1200;-34.1500;-4.9700
