Wavelength (nm);Intensity (dBm)
1131.0;1131.0
1200.0;-56.69
1200.199;-56.58
1200.398;-56.55
1200.597;-56.56
1200.797;-56.55
1200.996;-56.47
1201.195;-56.42
1201.394;-56.42
1201.593;-56.38
1201.792;-56.32
1201.991;-56.26
1202.19;-56.2
1202.389;-56.15
1202.589;-56.1
1202.788;-56.04
1202.987;-55.94
1203.186;-55.87
1203.385;-55.86
1203.584;-55.79
1203.783;-55.67
1203.982;-55.64
1204.181;-55.61
1204.381;-55.55
1204.58;-55.45
1204.779;-55.4
1204.978;-55.39
1205.177;-55.35
1205.376;-55.28
1205.575;-55.24
1205.774;-55.23
1205.974;-55.21
1206.173;-55.15
1206.372;-55.12
1206.571;-55.12
1206.77;-55.08
1206.969;-55.04
1207.168;-55.0
1207.367;-54.97
1207.566;-54.95
1207.766;-54.91
1207.965;-54.87
1208.164;-54.82
1208.363;-54.79
1208.562;-54.77
1208.761;-54.67
1208.96;-54.62
1209.159;-54.59
1209.358;-54.54
1209.558;-54.45
1209.757;-54.39
1209.956;-54.39
1210.155;-54.31
1210.354;-54.23
1210.553;-54.21
1210.752;-54.17
1210.951;-54.12
1211.15;-54.06
1211.35;-54.02
1211.549;-53.99
1211.748;-53.97
1211.947;-53.94
1212.146;-53.88
1212.345;-53.85
1212.544;-53.86
1212.743;-53.82
1212.943;-53.78
1213.142;-53.77
1213.341;-53.76
1213.54;-53.72
1213.739;-53.66
1213.938;-53.67
1214.137;-53.63
1214.336;-53.58
1214.535;-53.54
1214.735;-53.5
1214.934;-53.47
1215.133;-53.4
1215.332;-53.35
1215.531;-53.3
1215.73;-53.25
1215.929;-53.21
1216.128;-53.12
1216.327;-53.06
1216.527;-53.03
1216.726;-52.97
1216.925;-52.9
1217.124;-52.83
1217.323;-52.8
1217.522;-52.74
1217.721;-52.67
1217.92;-52.64
1218.12;-52.58
1218.319;-52.54
1218.518;-52.49
1218.717;-52.44
1218.916;-52.41
1219.115;-52.37
1219.314;-52.33
1219.513;-52.29
1219.712;-52.26
1219.912;-52.24
1220.111;-52.19
1220.31;-52.15
1220.509;-52.12
1220.708;-52.08
1220.907;-52.03
1221.106;-51.98
1221.305;-51.95
1221.504;-51.88
1221.704;-51.82
1221.903;-51.78
1222.102;-51.7
1222.301;-51.66
1222.5;-51.58
1222.699;-51.51
1222.898;-51.46
1223.097;-51.38
1223.297;-51.31
1223.496;-51.23
1223.695;-51.17
1223.894;-51.12
1224.093;-51.03
1224.292;-50.98
1224.491;-50.9
1224.69;-50.85
1224.889;-50.8
1225.089;-50.74
1225.288;-50.68
1225.487;-50.63
1225.686;-50.58
1225.885;-50.55
1226.084;-50.5
1226.283;-50.48
1226.482;-50.43
1226.681;-50.4
1226.881;-50.39
1227.08;-50.34
1227.279;-50.32
1227.478;-50.28
1227.677;-50.26
1227.876;-50.25
1228.075;-50.2
1228.274;-50.17
1228.474;-50.13
1228.673;-50.1
1228.872;-50.07
1229.071;-50.01
1229.27;-49.98
1229.469;-49.93
1229.668;-49.88
1229.867;-49.84
1230.066;-49.79
1230.266;-49.73
1230.465;-49.68
1230.664;-49.63
1230.863;-49.61
1231.062;-49.56
1231.261;-49.53
1231.46;-49.5
1231.659;-49.46
1231.858;-49.43
1232.058;-49.4
1232.257;-49.37
1232.456;-49.35
1232.655;-49.31
1232.854;-49.29
1233.053;-49.26
1233.252;-49.24
1233.451;-49.19
1233.65;-49.15
1233.85;-49.12
1234.049;-49.07
1234.248;-49.03
1234.447;-48.96
1234.646;-48.91
1234.845;-48.85
1235.044;-48.77
1235.243;-48.72
1235.443;-48.62
1235.642;-48.55
1235.841;-48.46
1236.04;-48.38
1236.239;-48.3
1236.438;-48.19
1236.637;-48.11
1236.836;-48.01
1237.035;-47.92
1237.235;-47.83
1237.434;-47.73
1237.633;-47.65
1237.832;-47.56
1238.031;-47.46
1238.23;-47.39
1238.429;-47.28
1238.628;-47.21
1238.827;-47.1
1239.027;-47.01
1239.226;-46.92
1239.425;-46.81
1239.624;-46.73
1239.823;-46.61
1240.022;-46.51
1240.221;-46.4
1240.42;-46.28
1240.62;-46.18
1240.819;-46.05
1241.018;-45.91
1241.217;-45.81
1241.416;-45.67
1241.615;-45.55
1241.814;-45.42
1242.013;-45.3
1242.212;-45.17
1242.412;-45.05
1242.611;-44.93
1242.81;-44.8
1243.009;-44.68
1243.208;-44.57
1243.407;-44.45
1243.606;-44.35
1243.805;-44.24
1244.004;-44.14
1244.204;-44.04
1244.403;-43.95
1244.602;-43.87
1244.801;-43.77
1245.0;-43.7
1245.199;-43.62
1245.398;-43.54
1245.597;-43.48
1245.797;-43.4
1245.996;-43.33
1246.195;-43.26
1246.394;-43.19
1246.593;-43.13
1246.792;-43.05
1246.991;-42.99
1247.19;-42.92
1247.389;-42.86
1247.589;-42.8
1247.788;-42.73
1247.987;-42.67
1248.186;-42.61
1248.385;-42.56
1248.584;-42.51
1248.783;-42.46
1248.982;-42.43
1249.181;-42.39
1249.381;-42.36
1249.58;-42.34
1249.779;-42.31
1249.978;-42.3
1250.177;-42.3
1250.376;-42.29
1250.575;-42.31
1250.774;-42.32
1250.974;-42.36
1251.173;-42.39
1251.372;-42.42
1251.571;-42.48
1251.77;-42.52
1251.969;-42.57
1252.168;-42.61
1252.367;-42.67
1252.566;-42.74
1252.766;-42.79
1252.965;-42.88
1253.164;-42.93
1253.363;-42.99
1253.562;-43.08
1253.761;-43.15
1253.96;-43.25
1254.159;-43.32
1254.358;-43.4
1254.558;-43.51
1254.757;-43.59
1254.956;-43.71
1255.155;-43.81
1255.354;-43.91
1255.553;-44.03
1255.752;-44.14
1255.951;-44.27
1256.15;-44.38
1256.35;-44.5
1256.549;-44.62
1256.748;-44.72
1256.947;-44.82
1257.146;-44.9
1257.345;-44.98
1257.544;-45.05
1257.743;-45.09
1257.943;-45.12
1258.142;-45.12
1258.341;-45.1
1258.54;-45.06
1258.739;-44.98
1258.938;-44.89
1259.137;-44.76
1259.336;-44.62
1259.535;-44.45
1259.735;-44.25
1259.934;-44.04
1260.133;-43.81
1260.332;-43.57
1260.531;-43.31
1260.73;-43.03
1260.929;-42.75
1261.128;-42.46
1261.327;-42.17
1261.527;-41.87
1261.726;-41.57
1261.925;-41.27
1262.124;-40.97
1262.323;-40.68
1262.522;-40.38
1262.721;-40.09
1262.92;-39.79
1263.12;-39.5
1263.319;-39.23
1263.518;-38.94
1263.717;-38.67
1263.916;-38.38
1264.115;-38.11
1264.314;-37.85
1264.513;-37.58
1264.712;-37.32
1264.912;-37.05
1265.111;-36.8
1265.31;-36.56
1265.509;-36.32
1265.708;-36.09
1265.907;-35.81
1266.106;-35.63
1266.305;-35.41
1266.504;-35.2
1266.704;-35.01
1266.903;-34.8
1267.102;-34.62
1267.301;-34.42
1267.5;-34.24
1267.699;-34.08
1267.898;-33.9
1268.097;-33.76
1268.297;-33.59
1268.496;-33.45
1268.695;-33.3
1268.894;-33.15
1269.093;-33.02
1269.292;-32.88
1269.491;-32.75
1269.69;-32.63
1269.889;-32.5
1270.089;-32.4
1270.288;-32.28
1270.487;-32.17
1270.686;-32.07
1270.885;-31.96
1271.084;-31.87
1271.283;-31.76
1271.482;-31.67
1271.681;-31.59
1271.881;-31.5
1272.08;-31.44
1272.279;-31.36
1272.478;-31.3
1272.677;-31.24
1272.876;-31.19
1273.075;-31.15
1273.274;-31.1
1273.474;-31.08
1273.673;-31.04
1273.872;-31.01
1274.071;-31.0
1274.27;-30.97
1274.469;-30.97
1274.668;-30.96
1274.867;-30.96
1275.066;-30.96
1275.266;-30.96
1275.465;-30.99
1275.664;-30.99
1275.863;-31.01
1276.062;-31.04
1276.261;-31.07
1276.46;-31.12
1276.659;-31.14
1276.858;-31.19
1277.058;-31.24
1277.257;-31.29
1277.456;-31.37
1277.655;-31.43
1277.854;-31.52
1278.053;-31.6
1278.252;-31.69
1278.451;-31.8
1278.65;-31.9
1278.85;-32.04
1279.049;-32.16
1279.248;-32.29
1279.447;-32.45
1279.646;-32.6
1279.845;-32.78
1280.044;-32.95
1280.243;-33.14
1280.443;-33.34
1280.642;-33.54
1280.841;-33.77
1281.04;-33.99
1281.239;-34.23
1281.438;-34.48
1281.637;-34.73
1281.836;-35.02
1282.035;-35.29
1282.235;-35.59
1282.434;-35.89
1282.633;-36.22
1282.832;-36.55
1283.031;-36.87
1283.23;-37.21
1283.429;-37.53
1283.628;-37.85
1283.827;-38.22
1284.027;-38.45
1284.226;-38.69
1284.425;-38.87
1284.624;-39.01
1284.823;-39.04
1285.022;-39.01
1285.221;-38.89
1285.42;-38.68
1285.62;-38.42
1285.819;-38.06
1286.018;-37.67
1286.217;-37.23
1286.416;-36.75
1286.615;-36.29
1286.814;-35.7
1287.013;-35.29
1287.212;-34.79
1287.412;-34.31
1287.611;-33.82
1287.81;-33.36
1288.009;-32.91
1288.208;-32.46
1288.407;-32.04
1288.606;-31.62
1288.805;-31.22
1289.004;-30.83
1289.204;-30.45
1289.403;-30.1
1289.602;-29.74
1289.801;-29.4
1290.0;-29.08
1290.199;-28.76
1290.398;-28.47
1290.597;-28.18
1290.797;-27.89
1290.996;-27.6
1291.195;-27.32
1291.394;-27.08
1291.593;-26.8
1291.792;-26.57
1291.991;-26.32
1292.19;-26.06
1292.389;-25.88
1292.589;-25.65
1292.788;-25.46
1292.987;-25.26
1293.186;-25.08
1293.385;-24.89
1293.584;-24.7
1293.783;-24.54
1293.982;-24.37
1294.181;-24.23
1294.381;-24.07
1294.58;-23.92
1294.779;-23.78
1294.978;-23.65
1295.177;-23.53
1295.376;-23.4
1295.575;-23.28
1295.774;-23.17
1295.974;-23.05
1296.173;-22.96
1296.372;-22.86
1296.571;-22.76
1296.77;-22.68
1296.969;-22.59
1297.168;-22.53
1297.367;-22.45
1297.566;-22.39
1297.766;-22.32
1297.965;-22.26
1298.164;-22.22
1298.363;-22.17
1298.562;-22.13
1298.761;-22.09
1298.96;-22.06
1299.159;-22.04
1299.358;-22.02
1299.558;-22.01
1299.757;-21.99
1299.956;-21.99
1300.155;-21.99
1300.354;-21.99
1300.553;-22.01
1300.752;-22.02
1300.951;-22.06
1301.15;-22.08
1301.35;-22.11
1301.549;-22.17
1301.748;-22.21
1301.947;-22.27
1302.146;-22.32
1302.345;-22.39
1302.544;-22.47
1302.743;-22.54
1302.943;-22.63
1303.142;-22.72
1303.341;-22.81
1303.54;-22.92
1303.739;-23.02
1303.938;-23.15
1304.137;-23.27
1304.336;-23.41
1304.535;-23.55
1304.735;-23.69
1304.934;-23.85
1305.133;-24.02
1305.332;-24.2
1305.531;-24.38
1305.73;-24.56
1305.929;-24.77
1306.128;-24.98
1306.327;-25.21
1306.527;-25.43
1306.726;-25.67
1306.925;-25.92
1307.124;-26.17
1307.323;-26.45
1307.522;-26.73
1307.721;-27.03
1307.92;-27.32
1308.12;-27.64
1308.319;-27.97
1308.518;-28.38
1308.717;-28.67
1308.916;-29.02
1309.115;-29.4
1309.314;-29.77
1309.513;-30.15
1309.712;-30.53
1309.912;-30.89
1310.111;-31.27
1310.31;-31.6
1310.509;-31.92
1310.708;-32.21
1310.907;-32.43
1311.106;-32.63
1311.305;-32.73
1311.504;-32.79
1311.704;-32.77
1311.903;-32.67
1312.102;-32.53
1312.301;-32.31
1312.5;-32.07
1312.699;-31.77
1312.898;-31.45
1313.097;-31.12
1313.297;-30.76
1313.496;-30.42
1313.695;-30.05
1313.894;-29.69
1314.093;-29.35
1314.292;-29.0
1314.491;-28.68
1314.69;-28.35
1314.889;-28.04
1315.089;-27.74
1315.288;-27.45
1315.487;-27.19
1315.686;-26.92
1315.885;-26.68
1316.084;-26.43
1316.283;-26.18
1316.482;-26.01
1316.681;-25.81
1316.881;-25.63
1317.08;-25.45
1317.279;-25.3
1317.478;-25.13
1317.677;-24.98
1317.876;-24.84
1318.075;-24.7
1318.274;-24.6
1318.474;-24.47
1318.673;-24.39
1318.872;-24.29
1319.071;-24.2
1319.27;-24.13
1319.469;-24.06
1319.668;-24.01
1319.867;-23.95
1320.066;-23.9
1320.266;-23.86
1320.465;-23.82
1320.664;-23.81
1320.863;-23.78
1321.062;-23.78
1321.261;-23.76
1321.46;-23.76
1321.659;-23.78
1321.858;-23.79
1322.058;-23.82
1322.257;-23.83
1322.456;-23.87
1322.655;-23.91
1322.854;-23.96
1323.053;-24.02
1323.252;-24.07
1323.451;-24.13
1323.65;-24.2
1323.85;-24.27
1324.049;-24.36
1324.248;-24.45
1324.447;-24.55
1324.646;-24.64
1324.845;-24.74
1325.044;-24.86
1325.243;-24.96
1325.443;-25.09
1325.642;-25.22
1325.841;-25.36
1326.04;-25.5
1326.239;-25.64
1326.438;-25.81
1326.637;-25.95
1326.836;-26.11
1327.035;-26.27
1327.235;-26.44
1327.434;-26.63
1327.633;-26.8
1327.832;-27.0
1328.031;-27.19
1328.23;-27.38
1328.429;-27.59
1328.628;-27.79
1328.827;-28.02
1329.027;-28.23
1329.226;-28.51
1329.425;-28.68
1329.624;-28.91
1329.823;-29.14
1330.022;-29.38
1330.221;-29.63
1330.42;-29.88
1330.62;-30.14
1330.819;-30.39
1331.018;-30.66
1331.217;-30.93
1331.416;-31.2
1331.615;-31.48
1331.814;-31.75
1332.013;-32.03
1332.212;-32.3
1332.412;-32.58
1332.611;-32.88
1332.81;-33.14
1333.009;-33.42
1333.208;-33.69
1333.407;-33.95
1333.606;-34.22
1333.805;-34.48
1334.004;-34.74
1334.204;-34.97
1334.403;-35.21
1334.602;-35.43
1334.801;-35.64
1335.0;-35.86
1335.199;-36.04
1335.398;-36.21
1335.597;-36.36
1335.797;-36.52
1335.996;-36.67
1336.195;-36.77
1336.394;-36.88
1336.593;-36.95
1336.792;-37.02
1336.991;-37.09
1337.19;-37.15
1337.389;-37.21
1337.589;-37.22
1337.788;-37.25
1337.987;-37.26
1338.186;-37.28
1338.385;-37.29
1338.584;-37.29
1338.783;-37.29
1338.982;-37.28
1339.181;-37.28
1339.381;-37.27
1339.58;-37.26
1339.779;-37.27
1339.978;-37.26
1340.177;-37.27
1340.376;-37.26
1340.575;-37.28
1340.774;-37.29
1340.974;-37.28
1341.173;-37.3
1341.372;-37.31
1341.571;-37.33
1341.77;-37.35
1341.969;-37.38
1342.168;-37.42
1342.367;-37.43
1342.566;-37.47
1342.766;-37.51
1342.965;-37.56
1343.164;-37.62
1343.363;-37.66
1343.562;-37.73
1343.761;-37.79
1343.96;-37.86
1344.159;-37.93
1344.358;-38.0
1344.558;-38.1
1344.757;-38.17
1344.956;-38.25
1345.155;-38.33
1345.354;-38.45
1345.553;-38.52
1345.752;-38.62
1345.951;-38.73
1346.15;-38.83
1346.35;-38.96
1346.549;-39.07
1346.748;-39.19
1346.947;-39.31
1347.146;-39.42
1347.345;-39.55
1347.544;-39.71
1347.743;-39.9
1347.943;-40.06
1348.142;-40.19
1348.341;-40.36
1348.54;-40.46
1348.739;-40.61
1348.938;-40.74
1349.137;-40.88
1349.336;-41.01
1349.535;-41.16
1349.735;-41.32
1349.934;-41.48
1350.133;-41.67
1350.332;-41.91
1350.531;-42.12
1350.73;-42.3
1350.929;-42.45
1351.128;-42.6
1351.327;-42.76
1351.527;-42.95
1351.726;-43.21
1351.925;-43.41
1352.124;-43.62
1352.323;-43.82
1352.522;-44.07
1352.721;-44.25
1352.92;-44.44
1353.12;-44.76
1353.319;-44.9
1353.518;-45.13
1353.717;-45.36
1353.916;-45.51
1354.115;-45.72
1354.314;-46.0
1354.513;-46.27
1354.712;-46.63
1354.912;-47.0
1355.111;-47.24
1355.31;-47.45
