Wavelength (nm);Intensity (dBm)
2251.0;2251.0
1200.0;-62.04
1200.1;-62.03
1200.2;-62.0
1200.3;-61.98
1200.4;-61.96
1200.5;-61.93
1200.6;-61.91
1200.7;-61.89
1200.8;-61.87
1200.9;-61.84
1201.0;-61.81
1201.1;-61.79
1201.2;-61.76
1201.3;-61.74
1201.4;-61.72
1201.5;-61.69
1201.6;-61.67
1201.7;-61.64
1201.8;-61.61
1201.9;-61.58
1202.0;-61.55
1202.1;-61.52
1202.2;-61.49
1202.3;-61.46
1202.4;-61.43
1202.5;-61.4
1202.6;-61.37
1202.7;-61.34
1202.8;-61.31
1202.9;-61.29
1203.0;-61.26
1203.1;-61.24
1203.2;-61.21
1203.3;-61.18
1203.4;-61.16
1203.5;-61.13
1203.6;-61.11
1203.7;-61.09
1203.8;-61.07
1203.9;-61.04
1204.0;-61.02
1204.1;-61.01
1204.2;-60.99
1204.3;-60.97
1204.4;-60.96
1204.5;-60.94
1204.6;-60.92
1204.7;-60.9
1204.8;-60.88
1204.9;-60.87
1205.0;-60.86
1205.1;-60.84
1205.2;-60.83
1205.3;-60.81
1205.4;-60.8
1205.5;-60.78
1205.6;-60.77
1205.7;-60.76
1205.8;-60.75
1205.9;-60.74
1206.0;-60.73
1206.1;-60.72
1206.2;-60.71
1206.3;-60.7
1206.4;-60.69
1206.5;-60.69
1206.6;-60.68
1206.7;-60.67
1206.8;-60.67
1206.9;-60.66
1207.0;-60.65
1207.1;-60.64
1207.2;-60.64
1207.3;-60.63
1207.4;-60.63
1207.5;-60.62
1207.6;-60.62
1207.7;-60.61
1207.8;-60.6
1207.9;-60.6
1208.0;-60.6
1208.1;-60.59
1208.2;-60.59
1208.3;-60.58
1208.4;-60.57
1208.5;-60.57
1208.6;-60.56
1208.7;-60.54
1208.8;-60.53
1208.9;-60.52
1209.0;-60.51
1209.1;-60.5
1209.2;-60.48
1209.3;-60.47
1209.4;-60.45
1209.5;-60.44
1209.6;-60.42
1209.7;-60.41
1209.8;-60.39
1209.9;-60.38
1210.0;-60.36
1210.1;-60.35
1210.2;-60.33
1210.3;-60.31
1210.4;-60.3
1210.5;-60.28
1210.6;-60.26
1210.7;-60.25
1210.8;-60.23
1210.9;-60.22
1211.0;-60.21
1211.1;-60.19
1211.2;-60.18
1211.3;-60.17
1211.4;-60.16
1211.5;-60.15
1211.6;-60.14
1211.7;-60.13
1211.8;-60.12
1211.9;-60.1
1212.0;-60.09
1212.1;-60.08
1212.2;-60.07
1212.3;-60.06
1212.4;-60.05
1212.5;-60.04
1212.6;-60.03
1212.7;-60.01
1212.8;-60.0
1212.9;-59.99
1213.0;-59.97
1213.1;-59.95
1213.2;-59.93
1213.3;-59.91
1213.4;-59.89
1213.5;-59.87
1213.6;-59.84
1213.7;-59.82
1213.8;-59.79
1213.9;-59.76
1214.0;-59.74
1214.1;-59.7
1214.2;-59.67
1214.3;-59.64
1214.4;-59.6
1214.5;-59.57
1214.6;-59.53
1214.7;-59.5
1214.8;-59.46
1214.9;-59.42
1215.0;-59.39
1215.1;-59.35
1215.2;-59.32
1215.3;-59.28
1215.4;-59.25
1215.5;-59.21
1215.6;-59.18
1215.7;-59.15
1215.8;-59.11
1215.9;-59.08
1216.0;-59.05
1216.1;-59.01
1216.2;-58.98
1216.3;-58.95
1216.4;-58.92
1216.5;-58.88
1216.6;-58.85
1216.7;-58.83
1216.8;-58.8
1216.9;-58.77
1217.0;-58.74
1217.1;-58.72
1217.2;-58.69
1217.3;-58.66
1217.4;-58.64
1217.5;-58.62
1217.6;-58.6
1217.7;-58.57
1217.8;-58.55
1217.9;-58.52
1218.0;-58.5
1218.1;-58.48
1218.2;-58.45
1218.3;-58.43
1218.4;-58.41
1218.5;-58.39
1218.6;-58.37
1218.7;-58.35
1218.8;-58.33
1218.9;-58.31
1219.0;-58.29
1219.1;-58.27
1219.2;-58.26
1219.3;-58.24
1219.4;-58.22
1219.5;-58.21
1219.6;-58.19
1219.7;-58.18
1219.8;-58.16
1219.9;-58.15
1220.0;-58.14
1220.1;-58.12
1220.2;-58.11
1220.3;-58.09
1220.4;-58.08
1220.5;-58.07
1220.6;-58.05
1220.7;-58.04
1220.8;-58.02
1220.9;-58.01
1221.0;-57.99
1221.1;-57.97
1221.2;-57.95
1221.3;-57.93
1221.4;-57.91
1221.5;-57.89
1221.6;-57.87
1221.7;-57.84
1221.8;-57.82
1221.9;-57.79
1222.0;-57.76
1222.1;-57.73
1222.2;-57.7
1222.3;-57.67
1222.4;-57.63
1222.5;-57.6
1222.6;-57.56
1222.7;-57.52
1222.8;-57.48
1222.9;-57.44
1223.0;-57.4
1223.1;-57.35
1223.2;-57.31
1223.3;-57.27
1223.4;-57.22
1223.5;-57.17
1223.6;-57.13
1223.7;-57.08
1223.8;-57.03
1223.9;-56.99
1224.0;-56.94
1224.1;-56.89
1224.2;-56.84
1224.3;-56.8
1224.4;-56.75
1224.5;-56.7
1224.6;-56.65
1224.7;-56.61
1224.8;-56.56
1224.9;-56.52
1225.0;-56.47
1225.1;-56.43
1225.2;-56.38
1225.3;-56.34
1225.4;-56.29
1225.5;-56.25
1225.6;-56.21
1225.7;-56.16
1225.8;-56.12
1225.9;-56.08
1226.0;-56.04
1226.1;-56.0
1226.2;-55.96
1226.3;-55.92
1226.4;-55.88
1226.5;-55.83
1226.6;-55.79
1226.7;-55.75
1226.8;-55.71
1226.9;-55.67
1227.0;-55.63
1227.1;-55.59
1227.2;-55.56
1227.3;-55.52
1227.4;-55.48
1227.5;-55.44
1227.6;-55.4
1227.7;-55.36
1227.8;-55.32
1227.9;-55.28
1228.0;-55.24
1228.1;-55.21
1228.2;-55.17
1228.3;-55.13
1228.4;-55.09
1228.5;-55.06
1228.6;-55.02
1228.7;-54.99
1228.8;-54.95
1228.9;-54.91
1229.0;-54.88
1229.1;-54.85
1229.2;-54.81
1229.3;-54.78
1229.4;-54.75
1229.5;-54.71
1229.6;-54.68
1229.7;-54.65
1229.8;-54.62
1229.9;-54.59
1230.0;-54.56
1230.1;-54.53
1230.2;-54.5
1230.3;-54.48
1230.4;-54.45
1230.5;-54.43
1230.6;-54.4
1230.7;-54.38
1230.8;-54.36
1230.9;-54.34
1231.0;-54.32
1231.1;-54.3
1231.2;-54.28
1231.3;-54.27
1231.4;-54.25
1231.5;-54.23
1231.6;-54.22
1231.7;-54.2
1231.8;-54.19
1231.9;-54.17
1232.0;-54.16
1232.1;-54.14
1232.2;-54.12
1232.3;-54.11
1232.4;-54.09
1232.5;-54.07
1232.6;-54.06
1232.7;-54.04
1232.8;-54.02
1232.9;-54.0
1233.0;-53.98
1233.1;-53.97
1233.2;-53.95
1233.3;-53.93
1233.4;-53.9
1233.5;-53.88
1233.6;-53.86
1233.7;-53.83
1233.8;-53.81
1233.9;-53.78
1234.0;-53.75
1234.1;-53.72
1234.2;-53.69
1234.3;-53.66
1234.4;-53.63
1234.5;-53.6
1234.6;-53.56
1234.7;-53.53
1234.8;-53.49
1234.9;-53.46
1235.0;-53.42
1235.1;-53.38
1235.2;-53.34
1235.3;-53.31
1235.4;-53.27
1235.5;-53.23
1235.6;-53.19
1235.7;-53.15
1235.8;-53.1
1235.9;-53.06
1236.0;-53.02
1236.1;-52.98
1236.2;-52.94
1236.3;-52.9
1236.4;-52.86
1236.5;-52.81
1236.6;-52.77
1236.7;-52.73
1236.8;-52.69
1236.9;-52.65
1237.0;-52.61
1237.1;-52.58
1237.2;-52.54
1237.3;-52.5
1237.4;-52.46
1237.5;-52.42
1237.6;-52.39
1237.7;-52.35
1237.8;-52.31
1237.9;-52.28
1238.0;-52.24
1238.1;-52.2
1238.2;-52.17
1238.3;-52.13
1238.4;-52.1
1238.5;-52.06
1238.6;-52.02
1238.7;-51.99
1238.8;-51.95
1238.9;-51.91
1239.0;-51.88
1239.1;-51.84
1239.2;-51.8
1239.3;-51.77
1239.4;-51.73
1239.5;-51.69
1239.6;-51.65
1239.7;-51.61
1239.8;-51.57
1239.9;-51.53
1240.0;-51.49
1240.1;-51.45
1240.2;-51.41
1240.3;-51.37
1240.4;-51.33
1240.5;-51.29
1240.6;-51.24
1240.7;-51.2
1240.8;-51.15
1240.9;-51.11
1241.0;-51.06
1241.1;-51.02
1241.2;-50.97
1241.3;-50.92
1241.4;-50.88
1241.5;-50.83
1241.6;-50.78
1241.7;-50.73
1241.8;-50.69
1241.9;-50.64
1242.0;-50.6
1242.1;-50.55
1242.2;-50.51
1242.3;-50.46
1242.4;-50.42
1242.5;-50.37
1242.6;-50.33
1242.7;-50.28
1242.8;-50.24
1242.9;-50.19
1243.0;-50.15
1243.1;-50.1
1243.2;-50.06
1243.3;-50.02
1243.4;-49.97
1243.5;-49.93
1243.6;-49.89
1243.7;-49.85
1243.8;-49.8
1243.9;-49.76
1244.0;-49.72
1244.1;-49.68
1244.2;-49.63
1244.3;-49.59
1244.4;-49.55
1244.5;-49.5
1244.6;-49.46
1244.7;-49.42
1244.8;-49.37
1244.9;-49.33
1245.0;-49.29
1245.1;-49.24
1245.2;-49.19
1245.3;-49.15
1245.4;-49.1
1245.5;-49.05
1245.6;-49.0
1245.7;-48.95
1245.8;-48.9
1245.9;-48.84
1246.0;-48.79
1246.1;-48.74
1246.2;-48.68
1246.3;-48.62
1246.4;-48.56
1246.5;-48.51
1246.6;-48.44
1246.7;-48.38
1246.8;-48.32
1246.9;-48.26
1247.0;-48.2
1247.1;-48.13
1247.2;-48.07
1247.3;-48.0
1247.4;-47.94
1247.5;-47.88
1247.6;-47.81
1247.7;-47.75
1247.8;-47.68
1247.9;-47.62
1248.0;-47.55
1248.1;-47.49
1248.2;-47.42
1248.3;-47.36
1248.4;-47.3
1248.5;-47.23
1248.6;-47.17
1248.7;-47.11
1248.8;-47.05
1248.9;-47.0
1249.0;-46.94
1249.1;-46.89
1249.2;-46.83
1249.3;-46.78
1249.4;-46.73
1249.5;-46.68
1249.6;-46.63
1249.7;-46.58
1249.8;-46.54
1249.9;-46.49
1250.0;-46.45
1250.1;-46.41
1250.2;-46.37
1250.3;-46.33
1250.4;-46.29
1250.5;-46.26
1250.6;-46.23
1250.7;-46.2
1250.8;-46.17
1250.9;-46.14
1251.0;-46.12
1251.1;-46.09
1251.2;-46.07
1251.3;-46.05
1251.4;-46.03
1251.5;-46.02
1251.6;-46.0
1251.7;-45.98
1251.8;-45.96
1251.9;-45.95
1252.0;-45.93
1252.1;-45.92
1252.2;-45.9
1252.3;-45.89
1252.4;-45.87
1252.5;-45.86
1252.6;-45.84
1252.7;-45.83
1252.8;-45.81
1252.9;-45.79
1253.0;-45.77
1253.1;-45.75
1253.2;-45.73
1253.3;-45.71
1253.4;-45.68
1253.5;-45.65
