Wavelength (nm);Intensity (dBm)
2251.0;2251.0
1200.0;-59.48
1200.1;-59.48
1200.2;-59.48
1200.3;-59.47
1200.4;-59.46
1200.5;-59.45
1200.6;-59.44
1200.7;-59.44
1200.8;-59.43
1200.9;-59.42
1201.0;-59.42
1201.1;-59.41
1201.2;-59.39
1201.3;-59.38
1201.4;-59.36
1201.5;-59.35
1201.6;-59.34
1201.7;-59.33
1201.8;-59.31
1201.9;-59.29
1202.0;-59.26
1202.1;-59.24
1202.2;-59.22
1202.3;-59.2
1202.4;-59.19
1202.5;-59.17
1202.6;-59.14
1202.7;-59.12
1202.8;-59.09
1202.9;-59.07
1203.0;-59.06
1203.1;-59.04
1203.2;-59.02
1203.3;-58.99
1203.4;-58.96
1203.5;-58.94
1203.6;-58.91
1203.7;-58.89
1203.8;-58.88
1203.9;-58.85
1204.0;-58.83
1204.1;-58.8
1204.2;-58.78
1204.3;-58.76
1204.4;-58.74
1204.5;-58.73
1204.6;-58.71
1204.7;-58.69
1204.8;-58.66
1204.9;-58.65
1205.0;-58.63
1205.1;-58.62
1205.2;-58.61
1205.3;-58.6
1205.4;-58.58
1205.5;-58.56
1205.6;-58.55
1205.7;-58.54
1205.8;-58.54
1205.9;-58.53
1206.0;-58.52
1206.1;-58.5
1206.2;-58.49
1206.3;-58.48
1206.4;-58.48
1206.5;-58.47
1206.6;-58.47
1206.7;-58.46
1206.8;-58.45
1206.9;-58.44
1207.0;-58.43
1207.1;-58.42
1207.2;-58.41
1207.3;-58.4
1207.4;-58.39
1207.5;-58.38
1207.6;-58.37
1207.7;-58.36
1207.8;-58.35
1207.9;-58.33
1208.0;-58.32
1208.1;-58.31
1208.2;-58.29
1208.3;-58.28
1208.4;-58.26
1208.5;-58.25
1208.6;-58.23
1208.7;-58.21
1208.8;-58.19
1208.9;-58.17
1209.0;-58.15
1209.1;-58.13
1209.2;-58.11
1209.3;-58.08
1209.4;-58.06
1209.5;-58.04
1209.6;-58.01
1209.7;-57.99
1209.8;-57.96
1209.9;-57.94
1210.0;-57.92
1210.1;-57.89
1210.2;-57.87
1210.3;-57.84
1210.4;-57.81
1210.5;-57.79
1210.6;-57.76
1210.7;-57.74
1210.8;-57.72
1210.9;-57.69
1211.0;-57.66
1211.1;-57.64
1211.2;-57.62
1211.3;-57.59
1211.4;-57.57
1211.5;-57.55
1211.6;-57.53
1211.7;-57.51
1211.8;-57.48
1211.9;-57.46
1212.0;-57.44
1212.1;-57.42
1212.2;-57.41
1212.3;-57.39
1212.4;-57.37
1212.5;-57.35
1212.6;-57.33
1212.7;-57.32
1212.8;-57.3
1212.9;-57.29
1213.0;-57.27
1213.1;-57.26
1213.2;-57.24
1213.3;-57.23
1213.4;-57.21
1213.5;-57.2
1213.6;-57.18
1213.7;-57.17
1213.8;-57.16
1213.9;-57.14
1214.0;-57.13
1214.1;-57.12
1214.2;-57.1
1214.3;-57.09
1214.4;-57.07
1214.5;-57.06
1214.6;-57.04
1214.7;-57.02
1214.8;-57.01
1214.9;-56.99
1215.0;-56.98
1215.1;-56.96
1215.2;-56.93
1215.3;-56.91
1215.4;-56.89
1215.5;-56.87
1215.6;-56.85
1215.7;-56.83
1215.8;-56.81
1215.9;-56.78
1216.0;-56.76
1216.1;-56.73
1216.2;-56.71
1216.3;-56.68
1216.4;-56.66
1216.5;-56.63
1216.6;-56.6
1216.7;-56.57
1216.8;-56.54
1216.9;-56.51
1217.0;-56.48
1217.1;-56.45
1217.2;-56.42
1217.3;-56.39
1217.4;-56.36
1217.5;-56.33
1217.6;-56.3
1217.7;-56.27
1217.8;-56.24
1217.9;-56.21
1218.0;-56.18
1218.1;-56.16
1218.2;-56.13
1218.3;-56.1
1218.4;-56.07
1218.5;-56.05
1218.6;-56.02
1218.7;-55.99
1218.8;-55.97
1218.9;-55.94
1219.0;-55.92
1219.1;-55.9
1219.2;-55.87
1219.3;-55.85
1219.4;-55.83
1219.5;-55.81
1219.6;-55.79
1219.7;-55.77
1219.8;-55.75
1219.9;-55.73
1220.0;-55.71
1220.1;-55.69
1220.2;-55.67
1220.3;-55.65
1220.4;-55.63
1220.5;-55.61
1220.6;-55.59
1220.7;-55.57
1220.8;-55.55
1220.9;-55.53
1221.0;-55.51
1221.1;-55.49
1221.2;-55.46
1221.3;-55.44
1221.4;-55.42
1221.5;-55.39
1221.6;-55.36
1221.7;-55.34
1221.8;-55.31
1221.9;-55.28
1222.0;-55.25
1222.1;-55.22
1222.2;-55.19
1222.3;-55.16
1222.4;-55.13
1222.5;-55.1
1222.6;-55.07
1222.7;-55.04
1222.8;-55.0
1222.9;-54.97
1223.0;-54.94
1223.1;-54.9
1223.2;-54.87
1223.3;-54.83
1223.4;-54.8
1223.5;-54.76
1223.6;-54.73
1223.7;-54.69
1223.8;-54.65
1223.9;-54.62
1224.0;-54.58
1224.1;-54.55
1224.2;-54.51
1224.3;-54.47
1224.4;-54.44
1224.5;-54.4
1224.6;-54.37
1224.7;-54.33
1224.8;-54.3
1224.9;-54.26
1225.0;-54.23
1225.1;-54.19
1225.2;-54.16
1225.3;-54.12
1225.4;-54.09
1225.5;-54.06
1225.6;-54.02
1225.7;-53.99
1225.8;-53.96
1225.9;-53.93
1226.0;-53.9
1226.1;-53.87
1226.2;-53.84
1226.3;-53.81
1226.4;-53.79
1226.5;-53.76
1226.6;-53.73
1226.7;-53.7
1226.8;-53.67
1226.9;-53.65
1227.0;-53.62
1227.1;-53.59
1227.2;-53.56
1227.3;-53.53
1227.4;-53.51
1227.5;-53.48
1227.6;-53.45
1227.7;-53.42
1227.8;-53.39
1227.9;-53.37
1228.0;-53.34
1228.1;-53.31
1228.2;-53.28
1228.3;-53.25
1228.4;-53.22
1228.5;-53.19
1228.6;-53.16
1228.7;-53.12
1228.8;-53.09
1228.9;-53.06
1229.0;-53.02
1229.1;-52.99
1229.2;-52.96
1229.3;-52.92
1229.4;-52.89
1229.5;-52.85
1229.6;-52.81
1229.7;-52.78
1229.8;-52.74
1229.9;-52.7
1230.0;-52.66
1230.1;-52.62
1230.2;-52.58
1230.3;-52.55
1230.4;-52.51
1230.5;-52.47
1230.6;-52.43
1230.7;-52.39
1230.8;-52.36
1230.9;-52.32
1231.0;-52.29
1231.1;-52.25
1231.2;-52.22
1231.3;-52.18
1231.4;-52.15
1231.5;-52.11
1231.6;-52.08
1231.7;-52.05
1231.8;-52.02
1231.9;-51.98
1232.0;-51.95
1232.1;-51.92
1232.2;-51.88
1232.3;-51.85
1232.4;-51.82
1232.5;-51.79
1232.6;-51.76
1232.7;-51.73
1232.8;-51.7
1232.9;-51.67
