Wavelength (nm);Intensity (dBm)
1751.0;1751.0
1550.0;-69.73
1550.1;-69.73
1550.2;-69.74
1550.3;-69.74
1550.4;-69.76
1550.5;-69.77
1550.6;-69.77
1550.7;-69.77
1550.8;-69.75
1550.9;-69.71
1551.0;-69.69
1551.1;-69.68
1551.2;-69.67
1551.3;-69.66
1551.4;-69.65
1551.5;-69.63
1551.6;-69.6
1551.7;-69.59
1551.8;-69.6
1551.9;-69.61
1552.0;-69.62
1552.1;-69.62
1552.2;-69.61
1552.3;-69.59
1552.4;-69.56
1552.5;-69.53
1552.6;-69.5
1552.7;-69.47
1552.8;-69.45
1552.9;-69.41
1553.0;-69.37
1553.1;-69.35
1553.2;-69.33
1553.3;-69.32
1553.4;-69.32
1553.5;-69.32
1553.6;-69.33
1553.7;-69.34
1553.8;-69.33
1553.9;-69.33
1554.0;-69.34
1554.1;-69.34
1554.2;-69.32
1554.3;-69.32
1554.4;-69.32
1554.5;-69.31
1554.6;-69.31
1554.7;-69.3
1554.8;-69.28
1554.9;-69.27
1555.0;-69.25
1555.1;-69.24
1555.2;-69.23
1555.3;-69.22
1555.4;-69.2
1555.5;-69.17
1555.6;-69.17
1555.7;-69.17
1555.8;-69.16
1555.9;-69.16
1556.0;-69.14
1556.1;-69.12
1556.2;-69.11
1556.3;-69.1
1556.4;-69.09
1556.5;-69.08
1556.6;-69.07
1556.7;-69.06
1556.8;-69.06
1556.9;-69.05
1557.0;-69.04
1557.1;-69.04
1557.2;-69.03
1557.3;-69.01
1557.4;-69.0
1557.5;-68.99
1557.6;-68.97
1557.7;-68.95
1557.8;-68.92
1557.9;-68.91
1558.0;-68.92
1558.1;-68.91
1558.2;-68.91
1558.3;-68.94
1558.4;-68.95
1558.5;-68.95
1558.6;-68.95
1558.7;-68.94
1558.8;-68.94
1558.9;-68.94
1559.0;-68.92
1559.1;-68.9
1559.2;-68.88
1559.3;-68.84
1559.4;-68.81
1559.5;-68.79
1559.6;-68.79
1559.7;-68.8
1559.8;-68.81
1559.9;-68.81
1560.0;-68.81
1560.1;-68.8
1560.2;-68.79
1560.3;-68.78
1560.4;-68.78
1560.5;-68.76
1560.6;-68.73
1560.7;-68.69
1560.8;-68.65
1560.9;-68.62
1561.0;-68.61
1561.1;-68.58
1561.2;-68.56
1561.3;-68.55
1561.4;-68.53
1561.5;-68.53
1561.6;-68.52
1561.7;-68.52
1561.8;-68.52
1561.9;-68.51
1562.0;-68.51
1562.1;-68.5
1562.2;-68.49
1562.3;-68.49
1562.4;-68.49
1562.5;-68.49
1562.6;-68.48
1562.7;-68.48
1562.8;-68.47
1562.9;-68.47
1563.0;-68.47
1563.1;-68.46
1563.2;-68.45
1563.3;-68.42
1563.4;-68.41
1563.5;-68.4
1563.6;-68.39
1563.7;-68.36
1563.8;-68.33
1563.9;-68.29
1564.0;-68.27
1564.1;-68.26
1564.2;-68.24
1564.3;-68.22
1564.4;-68.19
1564.5;-68.16
1564.6;-68.13
1564.7;-68.12
1564.8;-68.1
1564.9;-68.1
1565.0;-68.1
1565.1;-68.1
1565.2;-68.11
1565.3;-68.12
1565.4;-68.13
1565.5;-68.14
1565.6;-68.14
1565.7;-68.14
1565.8;-68.13
1565.9;-68.12
1566.0;-68.1
1566.1;-68.08
1566.2;-68.06
1566.3;-68.05
1566.4;-68.03
1566.5;-68.0
1566.6;-67.99
1566.7;-67.97
1566.8;-67.95
1566.9;-67.93
1567.0;-67.9
1567.1;-67.88
1567.2;-67.86
1567.3;-67.84
1567.4;-67.82
1567.5;-67.8
1567.6;-67.77
1567.7;-67.74
1567.8;-67.73
1567.9;-67.73
1568.0;-67.71
1568.1;-67.67
1568.2;-67.64
1568.3;-67.61
1568.4;-67.6
1568.5;-67.58
1568.6;-67.56
1568.7;-67.55
1568.8;-67.52
1568.9;-67.48
1569.0;-67.46
1569.1;-67.44
1569.2;-67.43
1569.3;-67.4
1569.4;-67.37
1569.5;-67.33
1569.6;-67.29
1569.7;-67.25
1569.8;-67.21
1569.9;-67.17
1570.0;-67.12
1570.1;-67.08
1570.2;-67.03
1570.3;-66.98
1570.4;-66.92
1570.5;-66.87
1570.6;-66.81
1570.7;-66.74
1570.8;-66.67
1570.9;-66.6
1571.0;-66.52
1571.1;-66.43
1571.2;-66.35
1571.3;-66.27
1571.4;-66.19
1571.5;-66.09
1571.6;-65.99
1571.7;-65.89
1571.8;-65.79
1571.9;-65.68
1572.0;-65.57
1572.1;-65.46
1572.2;-65.34
1572.3;-65.2
1572.4;-65.07
1572.5;-64.94
1572.6;-64.8
1572.7;-64.66
1572.8;-64.52
1572.9;-64.37
1573.0;-64.22
1573.1;-64.07
1573.2;-63.91
1573.3;-63.76
1573.4;-63.6
1573.5;-63.45
1573.6;-63.29
1573.7;-63.13
1573.8;-62.97
1573.9;-62.81
1574.0;-62.65
1574.1;-62.49
1574.2;-62.33
1574.3;-62.17
1574.4;-62.01
1574.5;-61.84
1574.6;-61.68
1574.7;-61.52
1574.8;-61.36
1574.9;-61.21
1575.0;-61.05
1575.1;-60.9
1575.2;-60.75
1575.3;-60.6
1575.4;-60.46
1575.5;-60.31
1575.6;-60.17
1575.7;-60.03
1575.8;-59.89
1575.9;-59.76
1576.0;-59.63
1576.1;-59.5
1576.2;-59.38
1576.3;-59.25
1576.4;-59.13
1576.5;-59.02
1576.6;-58.91
1576.7;-58.8
1576.8;-58.7
1576.9;-58.6
1577.0;-58.5
1577.1;-58.41
1577.2;-58.32
1577.3;-58.23
1577.4;-58.16
1577.5;-58.08
1577.6;-58.01
1577.7;-57.94
1577.8;-57.88
1577.9;-57.83
1578.0;-57.78
1578.1;-57.73
1578.2;-57.7
1578.3;-57.67
1578.4;-57.64
1578.5;-57.62
1578.6;-57.6
1578.7;-57.6
1578.8;-57.59
1578.9;-57.6
1579.0;-57.6
1579.1;-57.62
1579.2;-57.64
1579.3;-57.66
1579.4;-57.7
1579.5;-57.74
1579.6;-57.78
1579.7;-57.83
1579.8;-57.89
1579.9;-57.96
1580.0;-58.03
1580.1;-58.12
1580.2;-58.21
1580.3;-58.3
1580.4;-58.41
1580.5;-58.53
1580.6;-58.65
1580.7;-58.79
1580.8;-58.94
1580.9;-59.1
1581.0;-59.26
1581.1;-59.43
1581.2;-59.62
1581.3;-59.81
1581.4;-60.01
1581.5;-60.21
1581.6;-60.42
1581.7;-60.62
1581.8;-60.82
1581.9;-61.02
1582.0;-61.21
1582.1;-61.38
1582.2;-61.53
1582.3;-61.65
1582.4;-61.74
1582.5;-61.78
1582.6;-61.77
1582.7;-61.71
1582.8;-61.6
1582.9;-61.43
1583.0;-61.2
1583.1;-60.92
1583.2;-60.6
1583.3;-60.23
1583.4;-59.83
1583.5;-59.41
1583.6;-58.96
1583.7;-58.5
1583.8;-58.04
1583.9;-57.57
1584.0;-57.1
1584.1;-56.63
1584.2;-56.16
1584.3;-55.7
1584.4;-55.25
1584.5;-54.81
1584.6;-54.38
1584.7;-53.96
1584.8;-53.55
1584.9;-53.14
1585.0;-52.74
1585.1;-52.36
1585.2;-51.98
1585.3;-51.61
1585.4;-51.25
1585.5;-50.89
1585.6;-50.54
1585.7;-50.2
1585.8;-49.86
1585.9;-49.53
1586.0;-49.21
1586.1;-48.9
1586.2;-48.59
1586.3;-48.28
1586.4;-47.98
1586.5;-47.69
1586.6;-47.4
1586.7;-47.12
1586.8;-46.85
1586.9;-46.58
1587.0;-46.31
1587.1;-46.05
1587.2;-45.79
1587.3;-45.54
1587.4;-45.3
1587.5;-45.06
1587.6;-44.83
1587.7;-44.59
1587.8;-44.36
1587.9;-44.14
1588.0;-43.93
1588.1;-43.71
1588.2;-43.5
1588.3;-43.3
1588.4;-43.1
1588.5;-42.9
1588.6;-42.71
1588.7;-42.52
1588.8;-42.33
1588.9;-42.15
1589.0;-41.97
1589.1;-41.79
1589.2;-41.62
1589.3;-41.45
1589.4;-41.29
1589.5;-41.13
1589.6;-40.97
1589.7;-40.81
1589.8;-40.66
1589.9;-40.52
1590.0;-40.37
1590.1;-40.23
1590.2;-40.09
1590.3;-39.95
1590.4;-39.81
1590.5;-39.67
1590.6;-39.53
1590.7;-39.39
1590.8;-39.25
1590.9;-39.11
1591.0;-38.98
1591.1;-38.84
1591.2;-38.71
1591.3;-38.58
1591.4;-38.45
1591.5;-38.33
1591.6;-38.2
1591.7;-38.08
1591.8;-37.96
1591.9;-37.84
1592.0;-37.73
1592.1;-37.62
1592.2;-37.5
1592.3;-37.39
1592.4;-37.29
1592.5;-37.18
1592.6;-37.07
1592.7;-36.97
1592.8;-36.87
1592.9;-36.77
1593.0;-36.67
1593.1;-36.57
1593.2;-36.48
1593.3;-36.38
1593.4;-36.29
1593.5;-36.2
1593.6;-36.12
1593.7;-36.03
1593.8;-35.95
1593.9;-35.87
1594.0;-35.79
1594.1;-35.71
1594.2;-35.64
1594.3;-35.56
1594.4;-35.49
1594.5;-35.42
1594.6;-35.35
1594.7;-35.29
1594.8;-35.22
1594.9;-35.16
1595.0;-35.1
1595.1;-35.04
1595.2;-34.98
1595.3;-34.92
1595.4;-34.86
1595.5;-34.81
1595.6;-34.75
1595.7;-34.7
1595.8;-34.64
1595.9;-34.59
1596.0;-34.54
1596.1;-34.49
1596.2;-34.44
1596.3;-34.39
1596.4;-34.34
1596.5;-34.29
1596.6;-34.24
1596.7;-34.2
1596.8;-34.15
1596.9;-34.11
1597.0;-34.06
1597.1;-34.02
1597.2;-33.98
1597.3;-33.94
1597.4;-33.91
1597.5;-33.87
1597.6;-33.84
1597.7;-33.82
1597.8;-33.79
1597.9;-33.77
1598.0;-33.75
1598.1;-33.73
1598.2;-33.72
1598.3;-33.7
1598.4;-33.69
1598.5;-33.68
1598.6;-33.68
1598.7;-33.67
1598.8;-33.67
1598.9;-33.67
1599.0;-33.67
1599.1;-33.67
1599.2;-33.68
1599.3;-33.69
1599.4;-33.69
1599.5;-33.7
1599.6;-33.71
1599.7;-33.73
1599.8;-33.74
1599.9;-33.75
1600.0;-33.77
1600.1;-33.79
1600.2;-33.81
1600.3;-33.83
1600.4;-33.85
1600.5;-33.87
1600.6;-33.89
1600.7;-33.92
1600.8;-33.95
1600.9;-33.98
1601.0;-34.01
1601.1;-34.04
1601.2;-34.07
1601.3;-34.11
1601.4;-34.15
1601.5;-34.19
1601.6;-34.24
1601.7;-34.28
1601.8;-34.33
1601.9;-34.39
1602.0;-34.44
1602.1;-34.5
1602.2;-34.56
1602.3;-34.63
1602.4;-34.69
1602.5;-34.76
1602.6;-34.83
1602.7;-34.91
1602.8;-34.99
1602.9;-35.07
1603.0;-35.15
1603.1;-35.24
1603.2;-35.33
1603.3;-35.42
1603.4;-35.52
1603.5;-35.62
1603.6;-35.72
1603.7;-35.82
1603.8;-35.93
1603.9;-36.04
1604.0;-36.15
