Wavelength (nm);Intensity (dBm)
1751.0;1751.0
1550.0;-23.81
1550.1;-23.8
1550.2;-23.78
1550.3;-23.76
1550.4;-23.75
1550.5;-23.73
1550.6;-23.71
1550.7;-23.7
1550.8;-23.68
1550.9;-23.66
1551.0;-23.64
1551.1;-23.62
1551.2;-23.6
1551.3;-23.58
1551.4;-23.56
1551.5;-23.54
1551.6;-23.52
1551.7;-23.5
1551.8;-23.48
1551.9;-23.46
1552.0;-23.44
1552.1;-23.43
1552.2;-23.41
1552.3;-23.39
1552.4;-23.37
1552.5;-23.35
1552.6;-23.34
1552.7;-23.32
1552.8;-23.3
1552.9;-23.29
1553.0;-23.27
1553.1;-23.25
1553.2;-23.24
1553.3;-23.22
1553.4;-23.2
1553.5;-23.18
1553.6;-23.17
1553.7;-23.15
1553.8;-23.13
1553.9;-23.12
1554.0;-23.1
1554.1;-23.08
1554.2;-23.07
1554.3;-23.05
1554.4;-23.04
1554.5;-23.02
1554.6;-23.01
1554.7;-22.99
1554.8;-22.97
1554.9;-22.96
1555.0;-22.94
1555.1;-22.92
1555.2;-22.9
1555.3;-22.88
1555.4;-22.87
1555.5;-22.85
1555.6;-22.83
1555.7;-22.81
1555.8;-22.8
1555.9;-22.78
1556.0;-22.76
1556.1;-22.74
1556.2;-22.73
1556.3;-22.71
1556.4;-22.7
1556.5;-22.68
1556.6;-22.66
1556.7;-22.65
1556.8;-22.63
1556.9;-22.62
1557.0;-22.6
1557.1;-22.59
1557.2;-22.57
1557.3;-22.56
1557.4;-22.54
1557.5;-22.52
1557.6;-22.51
1557.7;-22.49
1557.8;-22.47
1557.9;-22.46
1558.0;-22.44
1558.1;-22.42
1558.2;-22.41
1558.3;-22.39
1558.4;-22.37
1558.5;-22.35
1558.6;-22.33
1558.7;-22.32
1558.8;-22.3
1558.9;-22.28
1559.0;-22.27
1559.1;-22.25
1559.2;-22.24
1559.3;-22.22
1559.4;-22.21
1559.5;-22.2
1559.6;-22.18
1559.7;-22.17
1559.8;-22.16
1559.9;-22.14
1560.0;-22.13
1560.1;-22.11
1560.2;-22.1
1560.3;-22.08
1560.4;-22.07
1560.5;-22.05
1560.6;-22.04
1560.7;-22.02
1560.8;-22.01
1560.9;-22.0
1561.0;-21.98
1561.1;-21.97
1561.2;-21.96
1561.3;-21.94
