Wavelength (nm);Intensity (dBm)
1751.0;1751.0
1550.0;-82.01
1550.1;-82.23
1550.2;-82.33
1550.3;-82.56
1550.4;-82.82
1550.5;-82.77
1550.6;-82.83
1550.7;-83.19
1550.8;-83.17
1550.9;-82.82
1551.0;-82.52
1551.1;-82.43
1551.2;-82.79
1551.3;-82.77
1551.4;-82.26
1551.5;-82.26
1551.6;-82.53
1551.7;-82.36
1551.8;-82.25
1551.9;-82.56
1552.0;-82.78
1552.1;-82.68
1552.2;-82.45
1552.3;-82.37
1552.4;-82.83
1552.5;-82.95
1552.6;-82.69
1552.7;-82.77
1552.8;-82.67
1552.9;-82.28
1553.0;-82.01
1553.1;-81.68
1553.2;-81.34
1553.3;-81.37
1553.4;-81.32
1553.5;-81.07
1553.6;-80.99
1553.7;-80.98
1553.8;-81.26
1553.9;-81.68
1554.0;-81.86
1554.1;-82.06
1554.2;-82.2
1554.3;-81.86
1554.4;-81.52
1554.5;-81.67
1554.6;-81.94
1554.7;-82.07
1554.8;-81.81
1554.9;-81.39
1555.0;-81.32
1555.1;-81.35
1555.2;-81.55
1555.3;-81.83
1555.4;-81.72
1555.5;-81.45
1555.6;-81.4
1555.7;-81.49
1555.8;-81.59
1555.9;-81.67
1556.0;-81.79
1556.1;-82.06
1556.2;-82.04
1556.3;-81.72
1556.4;-81.81
1556.5;-81.99
1556.6;-81.75
1556.7;-81.44
1556.8;-81.2
1556.9;-80.96
1557.0;-80.68
1557.1;-80.41
1557.2;-80.27
1557.3;-80.39
1557.4;-80.54
1557.5;-80.68
1557.6;-80.97
1557.7;-81.19
1557.8;-81.3
1557.9;-81.33
1558.0;-81.29
1558.1;-81.18
1558.2;-81.09
1558.3;-81.05
1558.4;-81.14
1558.5;-81.1
1558.6;-80.82
1558.7;-80.61
1558.8;-80.61
1558.9;-80.81
1559.0;-80.97
1559.1;-80.91
1559.2;-80.8
1559.3;-80.67
1559.4;-80.53
1559.5;-80.51
1559.6;-80.64
1559.7;-80.54
1559.8;-80.38
1559.9;-80.3
1560.0;-80.22
1560.1;-80.43
1560.2;-80.8
1560.3;-81.06
1560.4;-81.02
1560.5;-80.99
1560.6;-81.03
1560.7;-81.11
1560.8;-81.29
1560.9;-81.47
1561.0;-81.6
1561.1;-81.39
1561.2;-81.04
1561.3;-80.94
1561.4;-80.96
1561.5;-80.78
1561.6;-80.63
1561.7;-80.58
1561.8;-80.45
1561.9;-80.35
1562.0;-80.32
1562.1;-80.3
1562.2;-80.29
1562.3;-80.16
1562.4;-79.97
1562.5;-79.9
1562.6;-79.81
1562.7;-79.8
1562.8;-79.84
1562.9;-79.79
1563.0;-79.67
1563.1;-79.67
1563.2;-79.83
1563.3;-80.05
1563.4;-80.27
1563.5;-80.49
1563.6;-80.7
1563.7;-80.81
1563.8;-80.81
1563.9;-80.83
1564.0;-80.97
1564.1;-81.1
1564.2;-81.09
1564.3;-80.87
1564.4;-80.67
1564.5;-80.57
1564.6;-80.34
1564.7;-80.12
1564.8;-80.18
1564.9;-80.34
1565.0;-80.29
1565.1;-80.19
1565.2;-80.18
1565.3;-80.33
1565.4;-80.55
1565.5;-80.59
1565.6;-80.7
1565.7;-80.96
1565.8;-80.89
1565.9;-80.65
1566.0;-80.73
1566.1;-80.73
1566.2;-80.52
1566.3;-80.43
1566.4;-80.39
1566.5;-80.5
1566.6;-80.46
1566.7;-80.23
1566.8;-80.16
1566.9;-80.12
1567.0;-80.12
1567.1;-80.34
1567.2;-80.53
1567.3;-80.39
1567.4;-80.17
1567.5;-79.98
1567.6;-80.03
1567.7;-80.22
1567.8;-80.35
1567.9;-80.51
1568.0;-80.46
1568.1;-80.22
1568.2;-79.99
1568.3;-80.01
1568.4;-80.14
1568.5;-80.07
1568.6;-79.92
1568.7;-79.86
1568.8;-79.72
1568.9;-79.6
1569.0;-79.67
1569.1;-79.76
1569.2;-79.91
1569.3;-79.93
1569.4;-79.83
1569.5;-79.99
1569.6;-80.11
1569.7;-80.03
1569.8;-80.04
1569.9;-80.03
1570.0;-79.87
1570.1;-79.82
1570.2;-79.8
1570.3;-79.77
1570.4;-79.82
1570.5;-79.71
1570.6;-79.55
1570.7;-79.59
1570.8;-79.71
1570.9;-79.71
1571.0;-79.74
1571.1;-79.83
1571.2;-79.79
1571.3;-79.66
1571.4;-79.56
1571.5;-79.63
1571.6;-79.78
1571.7;-79.69
1571.8;-79.45
1571.9;-79.33
1572.0;-79.17
