Wavelength (nm);Intensity (dBm)
1131.0;1131.0
1200.0;-57.14
1200.199;-57.09
1200.398;-57.07
1200.597;-57.05
1200.797;-57.02
1200.996;-56.97
1201.195;-56.94
1201.394;-56.89
1201.593;-56.87
1201.792;-56.81
1201.991;-56.77
1202.19;-56.72
1202.389;-56.67
1202.589;-56.64
1202.788;-56.57
1202.987;-56.5
1203.186;-56.46
1203.385;-56.4
1203.584;-56.36
1203.783;-56.32
1203.982;-56.28
1204.181;-56.25
1204.381;-56.21
1204.58;-56.19
1204.779;-56.15
1204.978;-56.11
1205.177;-56.1
1205.376;-56.06
1205.575;-56.05
1205.774;-56.04
1205.974;-56.02
1206.173;-55.99
1206.372;-55.98
1206.571;-55.96
1206.77;-55.94
1206.969;-55.92
1207.168;-55.9
1207.367;-55.85
1207.566;-55.84
1207.766;-55.82
1207.965;-55.77
1208.164;-55.75
1208.363;-55.7
1208.562;-55.66
1208.761;-55.63
1208.96;-55.58
1209.159;-55.52
1209.358;-55.46
1209.558;-55.43
1209.757;-55.38
1209.956;-55.31
1210.155;-55.28
1210.354;-55.22
1210.553;-55.17
1210.752;-55.14
1210.951;-55.1
1211.15;-55.05
1211.35;-54.99
1211.549;-54.97
1211.748;-54.94
1211.947;-54.9
1212.146;-54.87
1212.345;-54.83
1212.544;-54.82
1212.743;-54.8
1212.943;-54.76
1213.142;-54.74
1213.341;-54.71
1213.54;-54.68
1213.739;-54.66
1213.938;-54.62
1214.137;-54.6
1214.336;-54.56
1214.535;-54.52
1214.735;-54.5
1214.934;-54.45
1215.133;-54.41
1215.332;-54.36
1215.531;-54.32
1215.73;-54.27
1215.929;-54.21
1216.128;-54.17
1216.327;-54.1
1216.527;-54.05
1216.726;-54.01
1216.925;-53.94
1217.124;-53.89
1217.323;-53.84
1217.522;-53.79
1217.721;-53.74
1217.92;-53.68
1218.12;-53.65
1218.319;-53.59
1218.518;-53.56
1218.717;-53.53
1218.916;-53.48
1219.115;-53.45
1219.314;-53.41
1219.513;-53.39
1219.712;-53.36
1219.912;-53.32
1220.111;-53.3
1220.31;-53.25
1220.509;-53.21
1220.708;-53.19
1220.907;-53.14
1221.106;-53.09
1221.305;-53.04
1221.504;-52.99
1221.704;-52.95
1221.903;-52.89
1222.102;-52.83
1222.301;-52.76
1222.5;-52.7
1222.699;-52.64
1222.898;-52.57
1223.097;-52.51
1223.297;-52.44
1223.496;-52.36
1223.695;-52.3
1223.894;-52.24
1224.093;-52.18
1224.292;-52.1
1224.491;-52.03
1224.69;-51.98
1224.889;-51.91
1225.089;-51.88
1225.288;-51.8
1225.487;-51.74
1225.686;-51.7
1225.885;-51.65
1226.084;-51.6
1226.283;-51.55
1226.482;-51.49
1226.681;-51.45
1226.881;-51.4
1227.08;-51.35
1227.279;-51.29
1227.478;-51.23
1227.677;-51.19
1227.876;-51.13
1228.075;-51.07
1228.274;-51.01
1228.474;-50.94
1228.673;-50.88
1228.872;-50.81
1229.071;-50.74
1229.27;-50.66
1229.469;-50.58
1229.668;-50.52
1229.867;-50.43
1230.066;-50.37
1230.266;-50.28
1230.465;-50.2
1230.664;-50.13
1230.863;-50.07
1231.062;-50.0
1231.261;-49.93
1231.46;-49.87
1231.659;-49.82
1231.858;-49.75
1232.058;-49.7
1232.257;-49.63
1232.456;-49.59
1232.655;-49.54
1232.854;-49.47
1233.053;-49.43
1233.252;-49.37
1233.451;-49.31
1233.65;-49.26
1233.85;-49.19
1234.049;-49.15
1234.248;-49.07
1234.447;-49.01
1234.646;-48.94
1234.845;-48.87
1235.044;-48.81
1235.243;-48.73
1235.443;-48.65
1235.642;-48.57
1235.841;-48.47
1236.04;-48.4
1236.239;-48.3
1236.438;-48.22
1236.637;-48.13
1236.836;-48.04
1237.035;-47.96
1237.235;-47.87
1237.434;-47.79
1237.633;-47.7
1237.832;-47.62
1238.031;-47.54
1238.23;-47.46
1238.429;-47.39
1238.628;-47.3
1238.827;-47.22
1239.027;-47.15
1239.226;-47.07
1239.425;-46.99
1239.624;-46.91
1239.823;-46.83
1240.022;-46.74
1240.221;-46.65
1240.42;-46.56
1240.62;-46.47
1240.819;-46.37
1241.018;-46.25
1241.217;-46.14
1241.416;-46.04
1241.615;-45.88
1241.814;-45.79
1242.013;-45.67
1242.212;-45.55
1242.412;-45.42
1242.611;-45.28
1242.81;-45.17
1243.009;-45.02
1243.208;-44.9
1243.407;-44.76
1243.606;-44.62
1243.805;-44.51
1244.004;-44.36
1244.204;-44.25
1244.403;-44.11
1244.602;-43.98
1244.801;-43.86
1245.0;-43.73
1245.199;-43.61
1245.398;-43.47
1245.597;-43.33
1245.797;-43.22
1245.996;-43.06
1246.195;-42.94
1246.394;-42.8
1246.593;-42.65
1246.792;-42.52
1246.991;-42.35
1247.19;-42.21
1247.389;-42.05
1247.589;-41.89
1247.788;-41.75
1247.987;-41.57
1248.186;-41.42
1248.385;-41.25
1248.584;-41.07
1248.783;-40.92
1248.982;-40.74
1249.181;-40.59
1249.381;-40.42
1249.58;-40.25
1249.779;-40.09
1249.978;-39.92
1250.177;-39.77
1250.376;-39.6
1250.575;-39.44
1250.774;-39.29
1250.974;-39.14
1251.173;-39.0
1251.372;-38.84
1251.571;-38.7
1251.77;-38.55
1251.969;-38.39
1252.168;-38.24
1252.367;-38.08
1252.566;-37.93
1252.766;-37.78
1252.965;-37.62
1253.164;-37.47
1253.363;-37.29
1253.562;-37.14
1253.761;-36.97
1253.96;-36.81
1254.159;-36.65
1254.358;-36.47
1254.558;-36.32
1254.757;-36.14
1254.956;-35.97
1255.155;-35.78
1255.354;-35.65
1255.553;-35.5
1255.752;-35.33
1255.951;-35.17
1256.15;-35.02
1256.35;-34.86
1256.549;-34.72
1256.748;-34.55
1256.947;-34.4
1257.146;-34.24
1257.345;-34.09
1257.544;-33.95
1257.743;-33.79
1257.943;-33.64
1258.142;-33.48
1258.341;-33.33
1258.54;-33.19
1258.739;-33.02
1258.938;-32.86
1259.137;-32.71
1259.336;-32.55
1259.535;-32.41
1259.735;-32.24
1259.934;-32.09
1260.133;-31.94
1260.332;-31.78
1260.531;-31.65
1260.73;-31.49
1260.929;-31.35
1261.128;-31.2
1261.327;-31.05
1261.527;-30.93
1261.726;-30.77
1261.925;-30.64
1262.124;-30.49
1262.323;-30.35
1262.522;-30.23
1262.721;-30.08
1262.92;-29.94
1263.12;-29.79
1263.319;-29.65
1263.518;-29.52
1263.717;-29.36
1263.916;-29.23
1264.115;-29.07
1264.314;-28.92
1264.513;-28.79
1264.712;-28.63
1264.912;-28.49
1265.111;-28.33
1265.31;-28.19
1265.509;-28.05
1265.708;-27.9
1265.907;-27.77
1266.106;-27.62
1266.305;-27.48
1266.504;-27.36
1266.704;-27.22
1266.903;-27.1
1267.102;-26.96
1267.301;-26.83
1267.5;-26.72
1267.699;-26.6
1267.898;-26.49
1268.097;-26.36
1268.297;-26.25
1268.496;-26.14
1268.695;-26.0
1268.894;-25.91
1269.093;-25.79
1269.292;-25.67
1269.491;-25.55
1269.69;-25.43
1269.889;-25.32
1270.089;-25.18
1270.288;-25.07
1270.487;-24.95
1270.686;-24.81
1270.885;-24.7
1271.084;-24.56
1271.283;-24.45
1271.482;-24.31
1271.681;-24.19
1271.881;-24.08
1272.08;-23.96
1272.279;-23.85
1272.478;-23.73
1272.677;-23.62
1272.876;-23.53
1273.075;-23.42
1273.274;-23.34
1273.474;-23.23
1273.673;-23.14
1273.872;-23.05
1274.071;-22.96
1274.27;-22.88
1274.469;-22.77
1274.668;-22.69
1274.867;-22.59
1275.066;-22.49
1275.266;-22.41
1275.465;-22.3
1275.664;-22.21
1275.863;-22.1
1276.062;-21.99
1276.261;-21.9
1276.46;-21.78
1276.659;-21.67
1276.858;-21.56
1277.058;-21.45
1277.257;-21.36
1277.456;-21.24
1277.655;-21.15
1277.854;-21.04
1278.053;-20.94
1278.252;-20.85
1278.451;-20.75
1278.65;-20.67
1278.85;-20.58
1279.049;-20.49
1279.248;-20.41
1279.447;-20.32
1279.646;-20.26
1279.845;-20.17
1280.044;-20.1
1280.243;-20.03
1280.443;-19.95
1280.642;-19.89
1280.841;-19.81
1281.04;-19.74
1281.239;-19.67
1281.438;-19.6
1281.637;-19.53
1281.836;-19.45
1282.035;-19.38
1282.235;-19.3
1282.434;-19.23
1282.633;-19.17
1282.832;-19.09
1283.031;-19.02
1283.23;-18.94
1283.429;-18.86
1283.628;-18.79
1283.827;-18.7
1284.027;-18.64
1284.226;-18.55
1284.425;-18.48
1284.624;-18.41
1284.823;-18.33
1285.022;-18.27
1285.221;-18.19
1285.42;-18.12
1285.62;-18.06
1285.819;-17.99
1286.018;-17.94
1286.217;-17.86
1286.416;-17.81
1286.615;-17.76
1286.814;-17.7
1287.013;-17.66
1287.212;-17.6
1287.412;-17.56
1287.611;-17.51
1287.81;-17.46
1288.009;-17.43
1288.208;-17.37
1288.407;-17.33
1288.606;-17.29
1288.805;-17.24
1289.004;-17.21
1289.204;-17.15
1289.403;-17.11
1289.602;-17.05
1289.801;-17.0
1290.0;-16.96
1290.199;-16.9
1290.398;-16.85
1290.597;-16.79
1290.797;-16.74
1290.996;-16.67
1291.195;-16.61
1291.394;-16.57
1291.593;-16.49
1291.792;-16.44
1291.991;-16.38
1292.19;-16.33
1292.389;-16.29
1292.589;-16.23
1292.788;-16.2
1292.987;-16.14
1293.186;-16.12
