Wavelength (nm);Intensity (dBm)
1131.0;1131.0
1200.0;-61.24
1200.199;-61.18
1200.398;-61.18
1200.597;-61.17
1200.797;-61.14
1200.996;-61.09
1201.195;-61.01
1201.394;-60.99
1201.593;-60.95
1201.792;-60.83
1201.991;-60.82
1202.19;-60.77
1202.389;-60.68
1202.589;-60.61
1202.788;-60.53
1202.987;-60.52
1203.186;-60.43
1203.385;-60.36
1203.584;-60.33
1203.783;-60.29
1203.982;-60.29
1204.181;-60.21
1204.381;-60.16
1204.58;-60.16
1204.779;-60.12
1204.978;-60.11
1205.177;-60.07
1205.376;-60.05
1205.575;-60.04
1205.774;-60.06
1205.974;-60.04
1206.173;-59.98
1206.372;-60.0
1206.571;-60.06
1206.77;-60.01
1206.969;-60.01
1207.168;-60.0
1207.367;-60.03
1207.566;-60.05
1207.766;-60.01
1207.965;-60.03
1208.164;-60.02
1208.363;-60.02
1208.562;-60.01
1208.761;-59.95
1208.96;-59.93
1209.159;-59.9
1209.358;-59.82
1209.558;-59.8
1209.757;-59.75
1209.956;-59.71
1210.155;-59.61
1210.354;-59.52
1210.553;-59.5
1210.752;-59.43
1210.951;-59.35
1211.15;-59.25
1211.35;-59.2
1211.549;-59.15
1211.748;-59.08
1211.947;-58.99
1212.146;-58.9
1212.345;-58.88
1212.544;-58.83
1212.743;-58.76
1212.943;-58.69
1213.142;-58.66
1213.341;-58.65
1213.54;-58.6
1213.739;-58.5
1213.938;-58.49
1214.137;-58.48
1214.336;-58.41
1214.535;-58.37
1214.735;-58.31
1214.934;-58.3
1215.133;-58.24
1215.332;-58.17
1215.531;-58.15
1215.73;-58.1
1215.929;-58.04
1216.128;-57.96
1216.327;-57.89
1216.527;-57.88
1216.726;-57.81
1216.925;-57.73
1217.124;-57.66
1217.323;-57.62
1217.522;-57.59
1217.721;-57.5
1217.92;-57.44
1218.12;-57.41
1218.319;-57.37
1218.518;-57.31
1218.717;-57.25
1218.916;-57.23
1219.115;-57.21
1219.314;-57.17
1219.513;-57.16
1219.712;-57.16
1219.912;-57.18
1220.111;-57.16
1220.31;-57.15
1220.509;-57.18
1220.708;-57.21
1220.907;-57.23
1221.106;-57.24
1221.305;-57.28
1221.504;-57.33
1221.704;-57.35
1221.903;-57.38
1222.102;-57.39
1222.301;-57.43
1222.5;-57.44
1222.699;-57.42
1222.898;-57.43
1223.097;-57.43
1223.297;-57.39
1223.496;-57.35
1223.695;-57.32
1223.894;-57.31
1224.093;-57.23
1224.292;-57.17
1224.491;-57.12
1224.69;-57.08
1224.889;-57.03
1225.089;-56.96
1225.288;-56.91
1225.487;-56.87
1225.686;-56.83
1225.885;-56.78
1226.084;-56.72
1226.283;-56.7
1226.482;-56.65
1226.681;-56.59
1226.881;-56.53
1227.08;-56.48
1227.279;-56.41
1227.478;-56.32
1227.677;-56.21
1227.876;-56.12
1228.075;-55.98
1228.274;-55.82
1228.474;-55.62
1228.673;-55.48
1228.872;-55.32
1229.071;-55.09
1229.27;-54.89
1229.469;-54.7
1229.668;-54.5
1229.867;-54.3
1230.066;-54.1
1230.266;-53.94
1230.465;-53.76
1230.664;-53.6
1230.863;-53.5
1231.062;-53.4
1231.261;-53.33
1231.46;-53.26
1231.659;-53.22
1231.858;-53.22
1232.058;-53.22
1232.257;-53.22
1232.456;-53.27
1232.655;-53.32
1232.854;-53.38
1233.053;-53.43
1233.252;-53.52
1233.451;-53.59
1233.65;-53.66
1233.85;-53.72
1234.049;-53.78
1234.248;-53.84
1234.447;-53.84
1234.646;-53.84
1234.845;-53.85
1235.044;-53.8
1235.243;-53.72
1235.443;-53.61
1235.642;-53.51
1235.841;-53.37
1236.04;-53.2
1236.239;-53.03
1236.438;-52.86
1236.637;-52.69
1236.836;-52.5
1237.035;-52.34
1237.235;-52.2
1237.434;-52.03
1237.633;-51.89
1237.832;-51.79
1238.031;-51.68
1238.23;-51.59
1238.429;-51.5
1238.628;-51.45
1238.827;-51.4
1239.027;-51.34
1239.226;-51.31
1239.425;-51.28
1239.624;-51.25
1239.823;-51.19
1240.022;-51.16
1240.221;-51.13
1240.42;-51.05
1240.62;-50.97
1240.819;-50.89
1241.018;-50.79
1241.217;-50.67
1241.416;-50.52
1241.615;-50.38
1241.814;-50.23
1242.013;-50.05
1242.212;-49.89
1242.412;-49.72
1242.611;-49.53
1242.81;-49.35
1243.009;-49.17
1243.208;-49.02
1243.407;-48.85
1243.606;-48.68
1243.805;-48.55
1244.004;-48.41
1244.204;-48.3
1244.403;-48.18
1244.602;-48.1
1244.801;-48.01
1245.0;-47.93
1245.199;-47.88
1245.398;-47.82
1245.597;-47.76
1245.797;-47.7
1245.996;-47.64
1246.195;-47.59
1246.394;-47.49
1246.593;-47.39
1246.792;-47.27
1246.991;-47.11
1247.19;-46.96
1247.389;-46.77
1247.589;-46.55
1247.788;-46.31
1247.987;-46.06
1248.186;-45.76
1248.385;-45.53
1248.584;-45.26
1248.783;-44.99
1248.982;-44.72
1249.181;-44.45
1249.381;-44.19
1249.58;-43.95
1249.779;-43.7
1249.978;-43.47
1250.177;-43.25
1250.376;-43.04
1250.575;-42.84
1250.774;-42.63
1250.974;-42.45
1251.173;-42.26
1251.372;-42.05
1251.571;-41.88
1251.77;-41.67
1251.969;-41.47
1252.168;-41.26
1252.367;-41.05
1252.566;-40.85
1252.766;-40.63
1252.965;-40.43
1253.164;-40.22
1253.363;-40.01
1253.562;-39.84
1253.761;-39.66
1253.96;-39.53
1254.159;-39.39
1254.358;-39.28
1254.558;-39.23
1254.757;-39.18
1254.956;-39.19
1255.155;-39.23
1255.354;-39.31
1255.553;-39.45
1255.752;-39.62
1255.951;-39.85
1256.15;-40.12
1256.35;-40.43
1256.549;-40.81
1256.748;-41.2
1256.947;-41.63
1257.146;-42.04
1257.345;-42.43
1257.544;-42.76
1257.743;-42.96
1257.943;-43.03
1258.142;-42.89
1258.341;-42.58
1258.54;-42.12
1258.739;-41.54
1258.938;-40.91
1259.137;-40.25
1259.336;-39.59
1259.535;-38.96
1259.735;-38.36
1259.934;-37.83
1260.133;-37.33
1260.332;-36.88
1260.531;-36.48
1260.73;-36.13
1260.929;-35.77
1261.128;-35.55
1261.327;-35.34
1261.527;-35.15
1261.726;-35.0
1261.925;-34.85
1262.124;-34.74
1262.323;-34.64
1262.522;-34.54
1262.721;-34.45
1262.92;-34.34
1263.12;-34.21
1263.319;-34.07
1263.518;-33.9
1263.717;-33.72
1263.916;-33.49
1264.115;-33.24
1264.314;-32.98
1264.513;-32.7
1264.712;-32.43
1264.912;-32.12
1265.111;-31.82
1265.31;-31.54
1265.509;-31.26
1265.708;-31.01
1265.907;-30.74
1266.106;-30.51
1266.305;-30.3
1266.504;-30.1
1266.704;-29.94
1266.903;-29.76
1267.102;-29.61
1267.301;-29.48
1267.5;-29.36
1267.699;-29.26
1267.898;-29.13
1268.097;-29.04
1268.297;-28.94
1268.496;-28.84
1268.695;-28.75
1268.894;-28.63
1269.093;-28.53
1269.292;-28.43
1269.491;-28.33
1269.69;-28.25
1269.889;-28.14
1270.089;-28.06
1270.288;-27.99
1270.487;-27.95
1270.686;-27.92
1270.885;-27.89
1271.084;-27.9
1271.283;-27.93
1271.482;-27.98
1271.681;-28.08
1271.881;-28.19
1272.08;-28.33
1272.279;-28.49
1272.478;-28.66
1272.677;-28.87
1272.876;-29.07
1273.075;-29.28
1273.274;-29.45
1273.474;-29.6
1273.673;-29.7
1273.872;-29.72
1274.071;-29.68
1274.27;-29.54
1274.469;-29.32
1274.668;-29.04
1274.867;-28.67
1275.066;-28.28
1275.266;-27.84
1275.465;-27.39
1275.664;-26.93
1275.863;-26.47
1276.062;-25.97
1276.261;-25.62
1276.46;-25.23
1276.659;-24.84
1276.858;-24.49
1277.058;-24.15
1277.257;-23.85
1277.456;-23.59
1277.655;-23.32
1277.854;-23.1
1278.053;-22.89
1278.252;-22.71
1278.451;-22.56
1278.65;-22.41
1278.85;-22.3
1279.049;-22.2
1279.248;-22.13
1279.447;-22.08
1279.646;-22.04
1279.845;-22.04
1280.044;-22.03
1280.243;-22.06
1280.443;-22.12
1280.642;-22.18
1280.841;-22.29
1281.04;-22.39
1281.239;-22.54
1281.438;-22.7
1281.637;-22.88
1281.836;-23.09
1282.035;-23.31
1282.235;-23.56
1282.434;-23.82
1282.633;-24.09
1282.832;-24.37
1283.031;-24.63
1283.23;-24.88
1283.429;-25.1
1283.628;-25.28
1283.827;-25.42
1284.027;-25.48
1284.226;-25.5
1284.425;-25.43
1284.624;-25.3
1284.823;-25.14
1285.022;-24.9
1285.221;-24.66
1285.42;-24.38
1285.62;-24.09
1285.819;-23.81
1286.018;-23.53
1286.217;-23.27
1286.416;-23.0
1286.615;-22.75
1286.814;-22.52
1287.013;-22.29
1287.212;-22.09
1287.412;-21.87
1287.611;-21.66
1287.81;-21.46
1288.009;-21.24
1288.208;-21.05
1288.407;-20.82
1288.606;-20.6
1288.805;-20.38
1289.004;-20.14
1289.204;-19.93
1289.403;-19.69
1289.602;-19.48
1289.801;-19.26
1290.0;-19.05
1290.199;-18.87
1290.398;-18.69
1290.597;-18.56
1290.797;-18.42
1290.996;-18.3
1291.195;-18.23
1291.394;-18.17
1291.593;-18.16
1291.792;-18.16
1291.991;-18.21
1292.19;-18.3
1292.389;-18.41
1292.589;-18.57
1292.788;-18.75
1292.987;-18.98
1293.186;-19.24
1293.385;-19.53
1293.584;-19.85
1293.783;-20.2
1293.982;-20.59
1294.181;-20.99
1294.381;-21.41
1294.58;-21.83
1294.779;-22.27
1294.978;-22.73
1295.177;-23.16
1295.376;-23.6
1295.575;-24.03
1295.774;-24.45
1295.974;-24.88
1296.173;-25.3
1296.372;-25.75
1296.571;-26.2
1296.77;-26.69
1296.969;-27.24
1297.168;-27.83
1297.367;-28.61
1297.566;-29.15
1297.766;-29.85
1297.965;-30.44
1298.164;-30.85
1298.363;-30.89
1298.562;-30.48
1298.761;-29.69
1298.96;-28.63
1299.159;-27.49
1299.358;-26.32
1299.558;-25.03
1299.757;-24.18
1299.956;-23.24
