Wavelength (nm);Intensity (dBm)
1201.0;1201.0
1250.0;-42.17
1250.1;-41.97
1250.2;-41.78
1250.3;-41.59
1250.4;-41.4
1250.5;-41.22
1250.6;-41.04
1250.7;-40.87
1250.8;-40.7
1250.9;-40.53
1251.0;-40.37
1251.1;-40.22
1251.2;-40.07
1251.3;-39.92
1251.4;-39.78
1251.5;-39.64
1251.6;-39.51
1251.7;-39.38
1251.8;-39.25
1251.9;-39.14
1252.0;-39.02
1252.1;-38.91
1252.2;-38.8
1252.3;-38.7
1252.4;-38.61
1252.5;-38.51
1252.6;-38.43
1252.7;-38.34
1252.8;-38.26
1252.9;-38.19
1253.0;-38.11
1253.1;-38.05
1253.2;-37.98
1253.3;-37.92
1253.4;-37.87
1253.5;-37.82
1253.6;-37.77
1253.7;-37.72
1253.8;-37.68
1253.9;-37.65
1254.0;-37.61
1254.1;-37.58
1254.2;-37.56
1254.3;-37.53
1254.4;-37.51
1254.5;-37.49
1254.6;-37.48
1254.7;-37.47
1254.8;-37.46
1254.9;-37.46
1255.0;-37.45
1255.1;-37.45
1255.2;-37.45
1255.3;-37.45
1255.4;-37.46
1255.5;-37.46
1255.6;-37.47
1255.7;-37.47
1255.8;-37.47
1255.9;-37.48
1256.0;-37.48
1256.1;-37.48
1256.2;-37.48
1256.3;-37.47
1256.4;-37.46
1256.5;-37.45
1256.6;-37.43
1256.7;-37.41
1256.8;-37.38
1256.9;-37.34
1257.0;-37.3
1257.1;-37.25
1257.2;-37.19
1257.3;-37.12
1257.4;-37.05
1257.5;-36.97
1257.6;-36.88
1257.7;-36.78
1257.8;-36.68
1257.9;-36.57
1258.0;-36.45
1258.1;-36.33
1258.2;-36.2
1258.3;-36.06
1258.4;-35.92
1258.5;-35.78
1258.6;-35.63
1258.7;-35.48
1258.8;-35.33
1258.9;-35.18
1259.0;-35.02
1259.1;-34.86
1259.2;-34.71
1259.3;-34.55
1259.4;-34.39
1259.5;-34.23
1259.6;-34.07
1259.7;-33.91
1259.8;-33.76
1259.9;-33.61
1260.0;-33.46
1260.1;-33.31
1260.2;-33.16
1260.3;-33.02
1260.4;-32.87
1260.5;-32.73
1260.6;-32.6
1260.7;-32.46
1260.8;-32.33
1260.9;-32.21
1261.0;-32.08
1261.1;-31.96
1261.2;-31.84
1261.3;-31.73
1261.4;-31.62
1261.5;-31.51
1261.6;-31.41
1261.7;-31.31
1261.8;-31.21
1261.9;-31.12
1262.0;-31.03
1262.1;-30.95
1262.2;-30.87
1262.3;-30.79
1262.4;-30.71
1262.5;-30.64
1262.6;-30.58
1262.7;-30.51
1262.8;-30.45
1262.9;-30.4
1263.0;-30.35
1263.1;-30.3
1263.2;-30.25
1263.3;-30.21
1263.4;-30.17
1263.5;-30.14
1263.6;-30.11
1263.7;-30.08
1263.8;-30.05
1263.9;-30.03
1264.0;-30.01
1264.1;-30.0
1264.2;-29.99
1264.3;-29.98
1264.4;-29.97
1264.5;-29.97
1264.6;-29.97
1264.7;-29.97
1264.8;-29.98
1264.9;-29.98
1265.0;-29.99
1265.1;-30.01
1265.2;-30.02
1265.3;-30.04
1265.4;-30.06
1265.5;-30.09
1265.6;-30.11
1265.7;-30.14
1265.8;-30.17
1265.9;-30.21
1266.0;-30.24
1266.1;-30.28
1266.2;-30.32
1266.3;-30.37
1266.4;-30.41
1266.5;-30.46
1266.6;-30.51
1266.7;-30.56
1266.8;-30.62
1266.9;-30.68
1267.0;-30.74
1267.1;-30.8
1267.2;-30.87
1267.3;-30.94
1267.4;-31.01
1267.5;-31.08
1267.6;-31.15
1267.7;-31.23
1267.8;-31.31
1267.9;-31.39
1268.0;-31.48
1268.1;-31.56
1268.2;-31.64
1268.3;-31.73
1268.4;-31.81
1268.5;-31.9
1268.6;-31.98
1268.7;-32.06
1268.8;-32.14
1268.9;-32.21
1269.0;-32.28
1269.1;-32.35
1269.2;-32.41
1269.3;-32.46
1269.4;-32.51
1269.5;-32.54
1269.6;-32.57
1269.7;-32.58
1269.8;-32.59
1269.9;-32.58
1270.0;-32.56
1270.1;-32.52
1270.2;-32.47
1270.3;-32.41
1270.4;-32.32
1270.5;-32.23
1270.6;-32.12
1270.7;-31.99
1270.8;-31.85
1270.9;-31.7
1271.0;-31.53
1271.1;-31.35
1271.2;-31.16
1271.3;-30.96
1271.4;-30.75
1271.5;-30.53
1271.6;-30.31
1271.7;-30.08
1271.8;-29.85
1271.9;-29.61
1272.0;-29.37
1272.1;-29.13
1272.2;-28.88
1272.3;-28.64
1272.4;-28.39
1272.5;-28.15
1272.6;-27.91
1272.7;-27.67
1272.8;-27.42
1272.9;-27.19
1273.0;-26.95
1273.1;-26.71
1273.2;-26.48
1273.3;-26.25
1273.4;-26.03
1273.5;-25.81
1273.6;-25.59
1273.7;-25.38
1273.8;-25.16
1273.9;-24.96
1274.0;-24.76
1274.1;-24.56
1274.2;-24.36
1274.3;-24.17
1274.4;-23.98
1274.5;-23.8
1274.6;-23.62
1274.7;-23.45
1274.8;-23.28
1274.9;-23.11
1275.0;-22.95
1275.1;-22.79
1275.2;-22.64
1275.3;-22.49
1275.4;-22.35
1275.5;-22.21
1275.6;-22.07
1275.7;-21.94
1275.8;-21.82
1275.9;-21.7
1276.0;-21.58
1276.1;-21.47
1276.2;-21.36
1276.3;-21.26
1276.4;-21.16
1276.5;-21.07
1276.6;-20.98
1276.7;-20.9
1276.8;-20.82
1276.9;-20.75
1277.0;-20.69
1277.1;-20.62
1277.2;-20.57
1277.3;-20.52
1277.4;-20.47
1277.5;-20.43
1277.6;-20.39
1277.7;-20.36
1277.8;-20.34
1277.9;-20.32
1278.0;-20.31
1278.1;-20.3
1278.2;-20.3
1278.3;-20.3
1278.4;-20.31
1278.5;-20.32
1278.6;-20.34
1278.7;-20.37
1278.8;-20.4
1278.9;-20.44
1279.0;-20.48
1279.1;-20.54
1279.2;-20.59
1279.3;-20.66
1279.4;-20.73
1279.5;-20.8
1279.6;-20.89
1279.7;-20.98
1279.8;-21.08
1279.9;-21.18
1280.0;-21.3
1280.1;-21.42
1280.2;-21.54
1280.3;-21.68
1280.4;-21.82
1280.5;-21.97
1280.6;-22.13
1280.7;-22.3
1280.8;-22.47
1280.9;-22.65
1281.0;-22.84
1281.1;-23.04
1281.2;-23.24
1281.3;-23.45
1281.4;-23.67
1281.5;-23.9
1281.6;-24.13
1281.7;-24.37
1281.8;-24.6
1281.9;-24.85
1282.0;-25.09
1282.1;-25.33
1282.2;-25.57
1282.3;-25.8
1282.4;-26.02
1282.5;-26.22
1282.6;-26.41
1282.7;-26.57
1282.8;-26.71
1282.9;-26.82
1283.0;-26.88
1283.1;-26.92
1283.2;-26.91
1283.3;-26.86
1283.4;-26.76
1283.5;-26.64
1283.6;-26.47
1283.7;-26.28
1283.8;-26.06
1283.9;-25.81
1284.0;-25.55
1284.1;-25.27
1284.2;-24.99
1284.3;-24.69
1284.4;-24.4
1284.5;-24.1
1284.6;-23.8
1284.7;-23.51
1284.8;-23.22
1284.9;-22.93
1285.0;-22.65
1285.1;-22.38
1285.2;-22.11
1285.3;-21.86
1285.4;-21.61
1285.5;-21.37
1285.6;-21.14
1285.7;-20.92
1285.8;-20.71
1285.9;-20.5
1286.0;-20.31
1286.1;-20.13
1286.2;-19.95
1286.3;-19.78
1286.4;-19.62
1286.5;-19.47
1286.6;-19.33
1286.7;-19.19
1286.8;-19.07
1286.9;-18.95
1287.0;-18.84
1287.1;-18.74
1287.2;-18.64
1287.3;-18.56
1287.4;-18.48
1287.5;-18.41
1287.6;-18.35
1287.7;-18.29
1287.8;-18.25
1287.9;-18.21
1288.0;-18.18
1288.1;-18.15
1288.2;-18.14
1288.3;-18.13
1288.4;-18.13
1288.5;-18.14
1288.6;-18.15
1288.7;-18.18
1288.8;-18.21
1288.9;-18.25
1289.0;-18.29
