Wavelength (nm);Intensity (dBm)
2251.0;2251.0
1200.0;-61.77
1200.1;-61.76
1200.2;-61.74
1200.3;-61.73
1200.4;-61.71
1200.5;-61.7
1200.6;-61.69
1200.7;-61.67
1200.8;-61.66
1200.9;-61.64
1201.0;-61.62
1201.1;-61.6
1201.2;-61.58
1201.3;-61.56
1201.4;-61.54
1201.5;-61.52
1201.6;-61.5
1201.7;-61.48
1201.8;-61.45
1201.9;-61.43
1202.0;-61.41
1202.1;-61.39
1202.2;-61.37
1202.3;-61.35
1202.4;-61.33
1202.5;-61.31
1202.6;-61.29
1202.7;-61.27
1202.8;-61.25
1202.9;-61.23
1203.0;-61.21
1203.1;-61.19
1203.2;-61.17
1203.3;-61.15
1203.4;-61.13
1203.5;-61.11
1203.6;-61.1
1203.7;-61.08
1203.8;-61.06
1203.9;-61.05
1204.0;-61.03
1204.1;-61.02
1204.2;-61.01
1204.3;-60.99
1204.4;-60.98
1204.5;-60.96
1204.6;-60.94
1204.7;-60.93
1204.8;-60.92
1204.9;-60.91
1205.0;-60.9
1205.1;-60.89
1205.2;-60.88
1205.3;-60.87
1205.4;-60.86
1205.5;-60.84
1205.6;-60.84
1205.7;-60.83
1205.8;-60.82
1205.9;-60.81
1206.0;-60.79
1206.1;-60.78
1206.2;-60.77
1206.3;-60.76
1206.4;-60.75
1206.5;-60.73
1206.6;-60.72
1206.7;-60.71
1206.8;-60.69
1206.9;-60.68
1207.0;-60.67
1207.1;-60.65
1207.2;-60.63
1207.3;-60.62
1207.4;-60.6
1207.5;-60.59
1207.6;-60.58
1207.7;-60.56
1207.8;-60.55
1207.9;-60.53
1208.0;-60.52
1208.1;-60.5
1208.2;-60.49
1208.3;-60.47
1208.4;-60.46
1208.5;-60.45
1208.6;-60.44
1208.7;-60.42
1208.8;-60.41
1208.9;-60.39
1209.0;-60.38
1209.1;-60.36
1209.2;-60.35
1209.3;-60.34
1209.4;-60.32
1209.5;-60.31
1209.6;-60.29
1209.7;-60.27
1209.8;-60.26
1209.9;-60.24
1210.0;-60.23
1210.1;-60.22
1210.2;-60.2
1210.3;-60.19
1210.4;-60.17
1210.5;-60.16
1210.6;-60.15
1210.7;-60.14
1210.8;-60.14
1210.9;-60.13
1211.0;-60.12
1211.1;-60.12
1211.2;-60.11
1211.3;-60.1
1211.4;-60.09
1211.5;-60.09
1211.6;-60.08
1211.7;-60.08
1211.8;-60.07
1211.9;-60.07
1212.0;-60.07
1212.1;-60.06
1212.2;-60.06
1212.3;-60.06
1212.4;-60.06
1212.5;-60.05
1212.6;-60.05
1212.7;-60.05
1212.8;-60.05
1212.9;-60.04
1213.0;-60.02
1213.1;-60.01
1213.2;-60.0
1213.3;-59.99
1213.4;-59.97
1213.5;-59.96
1213.6;-59.94
1213.7;-59.91
1213.8;-59.89
1213.9;-59.86
1214.0;-59.84
1214.1;-59.81
1214.2;-59.78
1214.3;-59.75
1214.4;-59.72
1214.5;-59.68
1214.6;-59.64
1214.7;-59.6
1214.8;-59.56
1214.9;-59.51
1215.0;-59.47
1215.1;-59.43
1215.2;-59.38
1215.3;-59.33
1215.4;-59.28
1215.5;-59.22
1215.6;-59.17
1215.7;-59.13
1215.8;-59.08
1215.9;-59.03
1216.0;-58.98
1216.1;-58.93
1216.2;-58.88
1216.3;-58.83
1216.4;-58.79
1216.5;-58.74
1216.6;-58.69
1216.7;-58.64
1216.8;-58.6
1216.9;-58.55
1217.0;-58.5
1217.1;-58.45
1217.2;-58.4
1217.3;-58.36
1217.4;-58.31
1217.5;-58.27
1217.6;-58.23
1217.7;-58.18
1217.8;-58.14
1217.9;-58.1
1218.0;-58.06
1218.1;-58.02
1218.2;-57.98
1218.3;-57.95
1218.4;-57.91
1218.5;-57.87
1218.6;-57.83
1218.7;-57.8
1218.8;-57.76
1218.9;-57.73
1219.0;-57.7
1219.1;-57.67
1219.2;-57.64
1219.3;-57.61
1219.4;-57.59
1219.5;-57.56
1219.6;-57.54
1219.7;-57.51
1219.8;-57.5
1219.9;-57.48
1220.0;-57.47
1220.1;-57.45
1220.2;-57.43
1220.3;-57.42
1220.4;-57.41
1220.5;-57.4
1220.6;-57.39
1220.7;-57.39
1220.8;-57.38
1220.9;-57.38
1221.0;-57.37
1221.1;-57.37
1221.2;-57.36
1221.3;-57.36
1221.4;-57.36
1221.5;-57.36
1221.6;-57.36
1221.7;-57.36
1221.8;-57.36
1221.9;-57.36
1222.0;-57.36
1222.1;-57.36
1222.2;-57.36
1222.3;-57.37
1222.4;-57.37
1222.5;-57.37
1222.6;-57.36
1222.7;-57.36
1222.8;-57.36
1222.9;-57.36
1223.0;-57.36
1223.1;-57.36
1223.2;-57.35
1223.3;-57.35
1223.4;-57.34
1223.5;-57.34
1223.6;-57.33
1223.7;-57.32
1223.8;-57.32
1223.9;-57.31
1224.0;-57.31
1224.1;-57.3
1224.2;-57.29
1224.3;-57.28
1224.4;-57.27
1224.5;-57.26
1224.6;-57.25
1224.7;-57.24
1224.8;-57.22
1224.9;-57.21
1225.0;-57.2
1225.1;-57.18
1225.2;-57.17
1225.3;-57.15
1225.4;-57.14
1225.5;-57.12
1225.6;-57.11
1225.7;-57.09
1225.8;-57.06
1225.9;-57.04
1226.0;-57.02
1226.1;-56.99
1226.2;-56.96
1226.3;-56.94
1226.4;-56.9
1226.5;-56.87
1226.6;-56.83
1226.7;-56.79
1226.8;-56.75
1226.9;-56.71
1227.0;-56.66
1227.1;-56.61
1227.2;-56.56
1227.3;-56.51
1227.4;-56.46
1227.5;-56.4
1227.6;-56.34
1227.7;-56.29
1227.8;-56.23
1227.9;-56.17
1228.0;-56.1
1228.1;-56.04
1228.2;-55.97
1228.3;-55.91
1228.4;-55.84
1228.5;-55.78
1228.6;-55.71
1228.7;-55.65
1228.8;-55.58
1228.9;-55.51
1229.0;-55.45
1229.1;-55.39
1229.2;-55.33
1229.3;-55.26
1229.4;-55.2
1229.5;-55.14
1229.6;-55.08
1229.7;-55.02
1229.8;-54.96
1229.9;-54.9
1230.0;-54.85
1230.1;-54.79
1230.2;-54.74
1230.3;-54.68
1230.4;-54.63
1230.5;-54.58
1230.6;-54.53
1230.7;-54.49
1230.8;-54.44
1230.9;-54.4
1231.0;-54.36
1231.1;-54.32
1231.2;-54.28
