Filename,N_ext,DGD_ps,PMD_Coeff,Delta_dB
1.csv,16,0.2442,1.4099,0.46
10.csv,10,0.1526,0.8812,1.02
11.csv,13,0.1984,1.1455,0.46
12.csv,16,0.2442,1.4099,0.32
13.csv,16,0.2442,1.4099,0.36
14.csv,9,0.1374,0.7931,0.90
15.csv,16,0.2442,1.4099,0.51
16.csv,16,0.2442,1.4099,0.32
17.csv,16,0.2442,1.4099,0.49
18.csv,16,0.2442,1.4099,0.95
19.csv,16,0.2442,1.4099,0.74
2.csv,12,0.1832,1.0574,0.30
20.csv,12,0.1832,1.0574,0.89
21.csv,14,0.2137,1.2337,1.11
22.csv,16,0.2442,1.4099,0.67
23.csv,16,0.2442,1.4099,0.51
24.csv,18,0.2747,1.5861,0.27
25.csv,13,0.1984,1.1455,0.83
26.csv,20,0.3053,1.7624,0.25
27.csv,16,0.2442,1.4099,0.61
28.csv,15,0.2289,1.3218,0.33
29.csv,14,0.2137,1.2337,1.59
3.csv,12,0.1832,1.0574,0.27
30.csv,20,0.3053,1.7624,0.25
32.csv,16,0.2442,1.4099,0.44
33.csv,11,0.1679,0.9693,0.70
34.csv,18,0.2747,1.5861,1.13
35.csv,10,0.1526,0.8812,0.78
36.csv,18,0.2747,1.5861,0.41
37.csv,16,0.2442,1.4099,0.41
39.csv,16,0.2442,1.4099,0.64
4.csv,14,0.2137,1.2337,1.63
40.csv,18,0.2747,1.5861,0.35
41.csv,18,0.2747,1.5861,0.48
42.csv,15,0.2289,1.3218,0.45
43.csv,15,0.2289,1.3218,0.26
44.csv,18,0.2747,1.5861,0.54
45.csv,15,0.2289,1.3218,0.30
46.csv,14,0.2137,1.2337,1.18
47.csv,13,0.1984,1.1455,0.42
48.csv,17,0.2595,1.4980,0.26
49.csv,14,0.2137,1.2337,0.48
5.csv,14,0.2137,1.2337,0.90
50.csv,13,0.1984,1.1455,0.58
51.csv,11,0.1679,0.9693,0.55
52.csv,18,0.2747,1.5861,0.55
53.csv,14,0.2137,1.2337,0.45
54.csv,16,0.2442,1.4099,0.49
55.csv,15,0.2289,1.3218,0.36
56.csv,16,0.2442,1.4099,0.58
57.csv,15,0.2289,1.3218,0.49
58.csv,16,0.2442,1.4099,0.42
59.csv,9,0.1374,0.7931,0.96
6.csv,11,0.1679,0.9693,0.97
60.csv,14,0.2137,1.2337,1.56
61.csv,15,0.2289,1.3218,0.45
62.csv,9,0.1374,0.7931,1.15
63.csv,9,0.1374,0.7931,0.95
64.csv,18,0.2747,1.5861,0.45
66.csv,13,0.1984,1.1455,0.68
67.csv,14,0.2137,1.2337,1.67
68.csv,15,0.2289,1.3218,0.49
69.csv,9,0.1374,0.7931,1.62
7.csv,16,0.2442,1.4099,0.54
70.csv,10,0.1526,0.8812,1.06
71.csv,14,0.2137,1.2337,0.27
72.csv,9,0.1374,0.7931,1.08
73.csv,10,0.1526,0.8812,0.87
74.csv,9,0.1374,0.7931,1.29
75.csv,16,0.2442,1.4099,0.62
76.csv,20,0.3053,1.7624,0.30
77.csv,18,0.2747,1.5861,0.64
78.csv,13,0.1984,1.1455,0.89
79.csv,18,0.2747,1.5861,0.73
8.csv,15,0.2289,1.3218,0.27
80.csv,18,0.2747,1.5861,0.46
81.csv,15,0.2289,1.3218,0.25
82.csv,11,0.1679,0.9693,0.67
83.csv,10,0.1526,0.8812,0.71
84.csv,10,0.1526,0.8812,0.67
85.csv,14,0.2137,1.2337,0.26
86.csv,13,0.1984,1.1455,0.44
87.csv,15,0.2289,1.3218,0.38
88.csv,9,0.1374,0.7931,1.79
89.csv,11,0.1679,0.9693,0.55
9.csv,9,0.1374,0.7931,0.87
90.csv,12,0.1832,1.0574,0.35
91.csv,15,0.2289,1.3218,0.58
92.csv,9,0.1374,0.7931,0.95
93.csv,18,0.2747,1.5861,0.30
94.csv,18,0.2747,1.5861,0.38
95.csv,18,0.2747,1.5861,0.70
96.csv,15,0.2289,1.3218,0.61
97.csv,11,0.1679,0.9693,0.52
98.csv,18,0.2747,1.5861,0.41
99.csv,15,0.2289,1.3218,0.29
