Filename,N_ext,DGD_ps,PMD_Coeff,Delta_dB
1.csv,21,0.3118,2.2048,0.68
10.csv,23,0.3415,2.4148,0.27
100.csv,15,0.2227,1.5749,1.64
11.csv,17,0.2524,1.7849,0.60
12.csv,20,0.2970,2.0998,0.26
13.csv,19,0.2821,1.9949,0.74
14.csv,24,0.3564,2.5198,0.58
15.csv,23,0.3415,2.4148,0.32
16.csv,21,0.3118,2.2048,0.36
17.csv,21,0.3118,2.2048,0.70
18.csv,21,0.3118,2.2048,0.87
19.csv,23,0.3415,2.4148,0.42
2.csv,17,0.2524,1.7849,0.30
20.csv,16,0.2376,1.6799,0.57
21.csv,13,0.1930,1.3649,1.64
22.csv,24,0.3564,2.5198,0.71
23.csv,21,0.3118,2.2048,0.83
24.csv,23,0.3415,2.4148,0.46
25.csv,21,0.3118,2.2048,0.80
26.csv,15,0.2227,1.5749,1.29
27.csv,21,0.3118,2.2048,0.80
28.csv,21,0.3118,2.2048,0.58
29.csv,23,0.3415,2.4148,0.52
3.csv,21,0.3118,2.2048,0.84
30.csv,23,0.3415,2.4148,0.44
31.csv,19,0.2821,1.9949,0.26
32.csv,17,0.2524,1.7849,0.41
33.csv,21,0.3118,2.2048,0.29
34.csv,23,0.3415,2.4148,0.32
35.csv,19,0.2821,1.9949,0.52
36.csv,19,0.2821,1.9949,0.77
37.csv,17,0.2524,1.7849,1.69
38.csv,21,0.3118,2.2048,0.42
39.csv,23,0.3415,2.4148,0.32
4.csv,19,0.2821,1.9949,0.90
41.csv,21,0.3118,2.2048,1.00
42.csv,19,0.2821,1.9949,0.77
43.csv,23,0.3415,2.4148,0.42
44.csv,21,0.3118,2.2048,0.95
45.csv,23,0.3415,2.4148,0.32
46.csv,23,0.3415,2.4148,0.25
47.csv,23,0.3415,2.4148,0.39
48.csv,23,0.3415,2.4148,0.26
49.csv,23,0.3415,2.4148,0.29
5.csv,17,0.2524,1.7849,0.32
50.csv,19,0.2821,1.9949,0.71
51.csv,21,0.3118,2.2048,0.81
52.csv,19,0.2821,1.9949,0.80
53.csv,21,0.3118,2.2048,0.97
54.csv,23,0.3415,2.4148,0.33
55.csv,15,0.2227,1.5749,0.86
56.csv,23,0.3415,2.4148,0.45
57.csv,13,0.1930,1.3649,1.72
58.csv,21,0.3118,2.2048,0.30
59.csv,17,0.2524,1.7849,1.75
6.csv,21,0.3118,2.2048,0.64
60.csv,19,0.2821,1.9949,0.80
61.csv,23,0.3415,2.4148,0.35
62.csv,15,0.2227,1.5749,1.69
63.csv,19,0.2821,1.9949,0.71
64.csv,23,0.3415,2.4148,0.41
65.csv,15,0.2227,1.5749,1.27
66.csv,21,0.3118,2.2048,0.44
67.csv,19,0.2821,1.9949,0.64
68.csv,19,0.2821,1.9949,0.68
69.csv,21,0.3118,2.2048,0.81
7.csv,21,0.3118,2.2048,0.71
70.csv,21,0.3118,2.2048,0.62
71.csv,21,0.3118,2.2048,0.76
72.csv,23,0.3415,2.4148,0.35
73.csv,23,0.3415,2.4148,0.38
74.csv,21,0.3118,2.2048,1.06
75.csv,21,0.3118,2.2048,0.97
76.csv,23,0.3415,2.4148,0.36
77.csv,19,0.2821,1.9949,0.26
78.csv,19,0.2821,1.9949,0.29
79.csv,19,0.2821,1.9949,0.73
8.csv,22,0.3267,2.3098,0.26
80.csv,19,0.2821,1.9949,0.42
81.csv,20,0.2970,2.0998,0.44
82.csv,21,0.3118,2.2048,0.87
83.csv,21,0.3118,2.2048,0.80
84.csv,23,0.3415,2.4148,0.36
85.csv,23,0.3415,2.4148,0.44
86.csv,21,0.3118,2.2048,0.86
87.csv,23,0.3415,2.4148,0.32
88.csv,23,0.3415,2.4148,0.27
89.csv,21,0.3118,2.2048,0.87
9.csv,21,0.3118,2.2048,0.80
90.csv,21,0.3118,2.2048,0.87
91.csv,19,0.2821,1.9949,0.64
92.csv,15,0.2227,1.5749,1.59
93.csv,23,0.3415,2.4148,0.27
94.csv,23,0.3415,2.4148,0.65
95.csv,13,0.1930,1.3649,0.62
96.csv,13,0.1930,1.3649,0.33
97.csv,21,0.3118,2.2048,0.42
98.csv,21,0.3118,2.2048,1.00
99.csv,21,0.3118,2.2048,0.99
