Filename,N_ext,DGD_ps,PMD_Coeff,Delta_dB
1.csv,11,0.2885,2.8849,0.97
10.csv,10,0.2623,2.6226,1.40
100.csv,11,0.2885,2.8849,0.87
11.csv,10,0.2623,2.6226,1.56
12.csv,10,0.2623,2.6226,1.72
13.csv,10,0.2623,2.6226,1.64
14.csv,11,0.2885,2.8849,1.46
15.csv,10,0.2623,2.6226,1.62
16.csv,10,0.2623,2.6226,1.60
17.csv,11,0.2885,2.8849,0.52
18.csv,10,0.2623,2.6226,1.56
19.csv,10,0.2623,2.6226,1.69
2.csv,11,0.2885,2.8849,0.78
20.csv,11,0.2885,2.8849,0.32
21.csv,10,0.2623,2.6226,1.62
22.csv,11,0.2885,2.8849,0.51
23.csv,10,0.2623,2.6226,1.66
24.csv,11,0.2885,2.8849,0.83
25.csv,10,0.2623,2.6226,1.62
26.csv,10,0.2623,2.6226,1.56
27.csv,14,0.3672,3.6716,1.22
28.csv,10,0.2623,2.6226,1.59
29.csv,10,0.2623,2.6226,1.66
3.csv,10,0.2623,2.6226,1.57
30.csv,9,0.2360,2.3603,0.61
31.csv,10,0.2623,2.6226,1.59
32.csv,10,0.2623,2.6226,1.70
33.csv,11,0.2885,2.8849,0.55
34.csv,9,0.2360,2.3603,0.65
35.csv,10,0.2623,2.6226,0.86
36.csv,10,0.2623,2.6226,1.56
37.csv,10,0.2623,2.6226,0.83
38.csv,11,0.2885,2.8849,0.45
39.csv,11,0.2885,2.8849,0.73
4.csv,11,0.2885,2.8849,0.45
40.csv,10,0.2623,2.6226,0.60
41.csv,10,0.2623,2.6226,1.60
42.csv,10,0.2623,2.6226,1.72
43.csv,11,0.2885,2.8849,0.25
44.csv,10,0.2623,2.6226,1.25
45.csv,10,0.2623,2.6226,1.63
46.csv,10,0.2623,2.6226,1.66
47.csv,10,0.2623,2.6226,1.28
48.csv,10,0.2623,2.6226,1.63
49.csv,9,0.2360,2.3603,1.08
5.csv,10,0.2623,2.6226,1.56
50.csv,10,0.2623,2.6226,1.59
51.csv,10,0.2623,2.6226,1.64
52.csv,10,0.2623,2.6226,1.66
53.csv,10,0.2623,2.6226,1.60
54.csv,10,0.2623,2.6226,1.59
55.csv,11,0.2885,2.8849,0.30
56.csv,7,0.1836,1.8358,0.83
57.csv,10,0.2623,2.6226,1.59
58.csv,10,0.2623,2.6226,1.56
59.csv,10,0.2623,2.6226,1.09
6.csv,12,0.3147,3.1471,0.41
60.csv,10,0.2623,2.6226,1.59
61.csv,10,0.2623,2.6226,1.60
62.csv,10,0.2623,2.6226,1.56
63.csv,10,0.2623,2.6226,1.76
64.csv,10,0.2623,2.6226,1.60
65.csv,10,0.2623,2.6226,1.38
66.csv,10,0.2623,2.6226,1.63
67.csv,9,0.2360,2.3603,0.77
68.csv,10,0.2623,2.6226,0.68
69.csv,10,0.2623,2.6226,1.56
7.csv,11,0.2885,2.8849,0.89
70.csv,10,0.2623,2.6226,1.57
71.csv,11,0.2885,2.8849,0.36
72.csv,6,0.1574,1.5736,0.92
73.csv,10,0.2623,2.6226,1.62
74.csv,10,0.2623,2.6226,1.66
75.csv,10,0.2623,2.6226,1.51
76.csv,10,0.2623,2.6226,1.59
77.csv,10,0.2623,2.6226,1.60
78.csv,10,0.2623,2.6226,1.27
79.csv,10,0.2623,2.6226,1.57
8.csv,11,0.2885,2.8849,0.52
80.csv,10,0.2623,2.6226,1.37
81.csv,10,0.2623,2.6226,1.56
82.csv,10,0.2623,2.6226,1.63
83.csv,10,0.2623,2.6226,1.72
84.csv,10,0.2623,2.6226,1.62
85.csv,10,0.2623,2.6226,1.62
86.csv,10,0.2623,2.6226,1.57
87.csv,10,0.2623,2.6226,1.08
88.csv,6,0.1574,1.5736,0.92
89.csv,12,0.3147,3.1471,0.55
9.csv,11,0.2885,2.8849,0.49
90.csv,10,0.2623,2.6226,1.57
91.csv,10,0.2623,2.6226,0.80
92.csv,10,0.2623,2.6226,1.00
93.csv,12,0.3147,3.1471,0.67
94.csv,13,0.3409,3.4094,0.25
95.csv,12,0.3147,3.1471,1.08
96.csv,8,0.2098,2.0981,1.63
97.csv,8,0.2098,2.0981,1.15
98.csv,10,0.2623,2.6226,0.68
99.csv,6,0.1574,1.5736,1.67
