Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1200.0000;-61.0300;-56.1700;-4.8600
1200.1990;-61.0100;-56.1300;-4.8800
1200.3980;-60.9900;-56.1000;-4.8900
1200.5970;-61.0200;-56.0800;-4.9400
1200.7970;-61.0200;-56.0500;-4.9700
1200.9960;-60.9700;-56.0200;-4.9500
1201.1950;-60.9600;-55.9700;-4.9900
1201.3940;-60.9300;-55.9300;-5.0000
1201.5930;-60.8700;-55.9000;-4.9700
1201.7920;-60.8400;-55.8500;-4.9900
1201.9910;-60.8400;-55.8100;-5.0300
1202.1900;-60.7800;-55.7500;-5.0300
1202.3890;-60.6800;-55.7000;-4.9800
1202.5890;-60.6500;-55.6600;-4.9900
1202.7880;-60.6600;-55.5900;-5.0700
1202.9870;-60.6400;-55.5400;-5.1000
1203.1860;-60.5300;-55.4800;-5.0500
1203.3850;-60.4800;-55.4400;-5.0400
1203.5840;-60.5300;-55.4200;-5.1100
1203.7830;-60.4900;-55.3500;-5.1400
1203.9820;-60.4200;-55.3200;-5.1000
1204.1810;-60.4000;-55.2800;-5.1200
1204.3810;-60.3900;-55.2400;-5.1500
1204.5800;-60.4000;-55.2300;-5.1700
1204.7790;-60.3400;-55.1800;-5.1600
1204.9780;-60.3200;-55.1500;-5.1700
1205.1770;-60.3200;-55.1200;-5.2000
1205.3760;-60.3300;-55.0900;-5.2400
1205.5750;-60.3000;-55.0900;-5.2100
1205.7740;-60.2700;-55.0500;-5.2200
1205.9740;-60.2100;-55.0400;-5.1700
1206.1730;-60.2100;-55.0200;-5.1900
1206.3720;-60.1900;-54.9900;-5.2000
1206.5710;-60.1600;-54.9800;-5.1800
1206.7700;-60.0900;-54.9500;-5.1400
1206.9690;-60.0700;-54.9300;-5.1400
1207.1680;-60.0600;-54.9000;-5.1600
1207.3670;-59.9700;-54.8600;-5.1100
1207.5660;-59.9200;-54.8500;-5.0700
1207.7660;-59.8800;-54.8000;-5.0800
1207.9650;-59.8600;-54.7700;-5.0900
1208.1640;-59.8000;-54.7200;-5.0800
1208.3630;-59.7000;-54.6800;-5.0200
1208.5620;-59.6600;-54.6500;-5.0100
1208.7610;-59.6200;-54.5800;-5.0400
1208.9600;-59.5800;-54.5400;-5.0400
1209.1590;-59.4900;-54.4900;-5.0000
1209.3580;-59.4100;-54.4300;-4.9800
1209.5580;-59.3900;-54.4000;-4.9900
1209.7570;-59.3300;-54.3400;-4.9900
1209.9560;-59.2400;-54.2800;-4.9600
1210.1550;-59.1700;-54.2300;-4.9400
1210.3540;-59.1300;-54.1800;-4.9500
1210.5530;-59.0900;-54.1400;-4.9500
1210.7520;-59.0000;-54.0800;-4.9200
1210.9510;-58.9200;-54.0300;-4.8900
1211.1500;-58.8900;-54.0000;-4.8900
1211.3500;-58.8500;-53.9500;-4.9000
1211.5490;-58.8300;-53.9200;-4.9100
1211.7480;-58.7500;-53.8800;-4.8700
1211.9470;-58.7000;-53.8400;-4.8600
1212.1460;-58.6900;-53.8200;-4.8700
1212.3450;-58.6500;-53.7700;-4.8800
1212.5440;-58.6200;-53.7600;-4.8600
1212.7430;-58.5700;-53.7200;-4.8500
1212.9430;-58.5800;-53.6800;-4.9000
1213.1420;-58.5700;-53.6700;-4.9000
1213.3410;-58.5300;-53.6300;-4.9000
1213.5400;-58.5300;-53.6100;-4.9200
1213.7390;-58.5300;-53.5700;-4.9600
1213.9380;-58.5500;-53.5300;-5.0200
1214.1370;-58.5200;-53.5100;-5.0100
1214.3360;-58.4800;-53.4600;-5.0200
1214.5350;-58.5100;-53.4400;-5.0700
1214.7350;-58.5100;-53.3900;-5.1200
1214.9340;-58.4800;-53.3400;-5.1400
1215.1330;-58.4400;-53.2900;-5.1500
1215.3320;-58.4600;-53.2400;-5.2200
1215.5310;-58.4700;-53.2000;-5.2700
1215.7300;-58.4200;-53.1400;-5.2800
1215.9290;-58.3600;-53.0800;-5.2800
1216.1280;-58.3400;-53.0300;-5.3100
1216.3270;-58.3000;-52.9600;-5.3400
1216.5270;-58.2800;-52.9200;-5.3600
1216.7260;-58.2000;-52.8600;-5.3400
1216.9250;-58.1600;-52.7900;-5.3700
1217.1240;-58.1500;-52.7400;-5.4100
1217.3230;-58.1000;-52.6700;-5.4300
1217.5220;-58.0400;-52.6300;-5.4100
1217.7210;-57.9800;-52.5700;-5.4100
1217.9200;-57.9600;-52.5200;-5.4400
1218.1200;-57.9400;-52.4800;-5.4600
1218.3190;-57.8600;-52.4200;-5.4400
1218.5180;-57.8500;-52.3900;-5.4600
1218.7170;-57.8300;-52.3400;-5.4900
1218.9160;-57.8100;-52.2900;-5.5200
1219.1150;-57.7500;-52.2600;-5.4900
1219.3140;-57.7100;-52.2100;-5.5000
1219.5130;-57.7200;-52.1900;-5.5300
1219.7120;-57.6900;-52.1500;-5.5400
1219.9120;-57.6400;-52.1100;-5.5300
1220.1110;-57.6000;-52.0700;-5.5300
1220.3100;-57.5800;-52.0300;-5.5500
1220.5090;-57.5700;-52.0000;-5.5700
1220.7080;-57.5100;-51.9500;-5.5600
1220.9070;-57.4400;-51.9100;-5.5300
1221.1060;-57.3900;-51.8500;-5.5400
1221.3050;-57.3600;-51.8000;-5.5600
1221.5040;-57.2900;-51.7500;-5.5400
1221.7040;-57.2000;-51.6800;-5.5200
1221.9030;-57.1500;-51.6300;-5.5200
1222.1020;-57.1000;-51.5700;-5.5300
1222.3010;-57.0200;-51.5000;-5.5200
1222.5000;-56.9300;-51.4300;-5.5000
1222.6990;-56.8700;-51.3600;-5.5100
1222.8980;-56.8200;-51.2900;-5.5300
1223.0970;-56.7300;-51.2200;-5.5100
1223.2970;-56.6400;-51.1500;-5.4900
1223.4960;-56.5800;-51.0800;-5.5000
1223.6950;-56.5300;-51.0000;-5.5300
1223.8940;-56.4600;-50.9400;-5.5200
1224.0930;-56.3900;-50.8700;-5.5200
1224.2920;-56.3300;-50.8000;-5.5300
1224.4910;-56.3100;-50.7400;-5.5700
1224.6900;-56.2500;-50.6700;-5.5800
1224.8890;-56.1900;-50.6000;-5.5900
1225.0890;-56.1800;-50.5500;-5.6300
1225.2880;-56.1500;-50.4800;-5.6700
1225.4870;-56.1100;-50.4300;-5.6800
1225.6860;-56.0700;-50.3700;-5.7000
1225.8850;-56.0500;-50.3200;-5.7300
1226.0840;-56.0500;-50.2700;-5.7800
1226.2830;-56.0200;-50.2100;-5.8100
1226.4820;-56.0000;-50.1600;-5.8400
1226.6810;-55.9800;-50.1100;-5.8700
1226.8810;-55.9700;-50.0600;-5.9100
1227.0800;-55.9500;-50.0000;-5.9500
1227.2790;-55.9000;-49.9500;-5.9500
1227.4780;-55.8900;-49.8900;-6.0000
1227.6770;-55.8700;-49.8300;-6.0400
1227.8760;-55.8400;-49.7700;-6.0700
1228.0750;-55.8000;-49.7100;-6.0900
1228.2740;-55.7600;-49.6400;-6.1200
1228.4740;-55.7300;-49.5700;-6.1600
1228.6730;-55.6800;-49.4900;-6.1900
1228.8720;-55.6500;-49.4200;-6.2300
1229.0710;-55.5900;-49.3500;-6.2400
1229.2700;-55.5700;-49.2600;-6.3100
1229.4690;-55.5300;-49.1900;-6.3400
1229.6680;-55.4700;-49.1000;-6.3700
1229.8670;-55.4400;-49.0100;-6.4300
1230.0660;-55.4000;-48.9500;-6.4500
1230.2660;-55.3300;-48.8500;-6.4800
1230.4650;-55.2900;-48.7700;-6.5200
1230.6640;-55.2400;-48.6900;-6.5500
1230.8630;-55.2200;-48.6200;-6.6000
1231.0620;-55.1600;-48.5500;-6.6100
1231.2610;-55.1100;-48.4800;-6.6300
1231.4600;-55.0900;-48.4300;-6.6600
1231.6590;-55.0300;-48.3500;-6.6800
1231.8580;-54.9800;-48.2800;-6.7000
1232.0580;-54.9200;-48.2300;-6.6900
1232.2570;-54.8600;-48.1600;-6.7000
1232.4560;-54.8100;-48.1200;-6.6900
1232.6550;-54.7200;-48.0400;-6.6800
1232.8540;-54.6600;-47.9800;-6.6800
1233.0530;-54.5800;-47.9300;-6.6500
1233.2520;-54.4900;-47.8600;-6.6300
1233.4510;-54.4000;-47.8100;-6.5900
1233.6500;-54.3200;-47.7400;-6.5800
1233.8500;-54.2400;-47.6800;-6.5600
1234.0490;-54.1400;-47.6200;-6.5200
1234.2480;-54.0200;-47.5400;-6.4800
1234.4470;-53.9300;-47.4800;-6.4500
1234.6460;-53.8200;-47.4000;-6.4200
1234.8450;-53.7200;-47.3300;-6.3900
1235.0440;-53.6000;-47.2400;-6.3600
1235.2430;-53.5000;-47.1600;-6.3400
1235.4430;-53.3800;-47.0800;-6.3000
1235.6420;-53.2500;-46.9800;-6.2700
1235.8410;-53.1400;-46.9000;-6.2400
1236.0400;-53.0200;-46.8100;-6.2100
1236.2390;-52.9000;-46.7100;-6.1900
1236.4380;-52.7700;-46.6200;-6.1500
1236.6370;-52.6600;-46.5300;-6.1300
1236.8360;-52.5500;-46.4400;-6.1100
1237.0350;-52.4300;-46.3400;-6.0900
1237.2350;-52.3000;-46.2500;-6.0500
1237.4340;-52.1800;-46.1600;-6.0200
1237.6330;-52.0700;-46.0700;-6.0000
1237.8320;-51.9800;-46.0000;-5.9800
1238.0310;-51.8500;-45.8900;-5.9600
1238.2300;-51.7600;-45.8300;-5.9300
1238.4290;-51.6600;-45.7300;-5.9300
1238.6280;-51.5600;-45.6600;-5.9000
1238.8270;-51.4700;-45.5800;-5.8900
1239.0270;-51.3800;-45.5000;-5.8800
1239.2260;-51.3000;-45.4200;-5.8800
1239.4250;-51.2000;-45.3300;-5.8700
1239.6240;-51.1300;-45.2500;-5.8800
1239.8230;-51.0600;-45.1600;-5.9000
1240.0220;-50.9800;-45.0700;-5.9100
1240.2210;-50.9000;-44.9900;-5.9100
1240.4200;-50.8100;-44.8800;-5.9300
1240.6200;-50.7400;-44.8000;-5.9400
1240.8190;-50.6700;-44.6900;-5.9800
1241.0180;-50.5600;-44.5700;-5.9900
1241.2170;-50.4800;-44.4700;-6.0100
1241.4160;-50.3900;-44.3500;-6.0400
1241.6150;-50.2700;-44.2300;-6.0400
1241.8140;-50.1800;-44.1100;-6.0700
1242.0130;-50.0600;-43.9900;-6.0700
1242.2120;-49.9500;-43.8800;-6.0700
1242.4120;-49.8200;-43.7400;-6.0800
1242.6110;-49.6800;-43.6100;-6.0700
1242.8100;-49.5600;-43.4900;-6.0700
1243.0090;-49.4000;-43.3500;-6.0500
1243.2080;-49.2600;-43.2300;-6.0300
1243.4070;-49.0900;-43.0900;-6.0000
1243.6060;-48.9300;-42.9700;-5.9600
1243.8050;-48.7800;-42.8400;-5.9400
1244.0040;-48.5900;-42.7100;-5.8800
1244.2040;-48.4300;-42.6000;-5.8300
1244.4030;-48.2500;-42.4600;-5.7900
1244.6020;-48.0600;-42.3400;-5.7200
1244.8010;-47.8900;-42.2200;-5.6700
1245.0000;-47.7100;-42.0900;-5.6200
1245.1990;-47.5400;-41.9900;-5.5500
1245.3980;-47.3400;-41.8600;-5.4800
1245.5970;-47.1400;-41.7300;-5.4100
1245.7970;-46.9700;-41.6100;-5.3600
1245.9960;-46.7600;-41.4800;-5.2800
1246.1950;-46.5800;-41.3600;-5.2200
1246.3940;-46.3800;-41.2300;-5.1500
1246.5930;-46.1700;-41.0900;-5.0800
1246.7920;-45.9800;-40.9600;-5.0200
1246.9910;-45.7400;-40.8100;-4.9300
1247.1900;-45.5900;-40.6900;-4.9000
1247.3890;-45.4000;-40.5400;-4.8600
1247.5890;-45.2000;-40.3900;-4.8100
1247.7880;-45.0100;-40.2500;-4.7600
1247.9870;-44.8100;-40.0900;-4.7200
1248.1860;-44.6400;-39.9500;-4.6900
1248.3850;-44.4600;-39.7900;-4.6700
1248.5840;-44.2900;-39.6300;-4.6600
1248.7830;-44.1300;-39.4900;-4.6400
1248.9820;-43.9700;-39.3300;-4.6400
1249.1810;-43.8400;-39.1900;-4.6500
1249.3810;-43.7000;-39.0300;-4.6700
1249.5800;-43.5800;-38.8700;-4.7100
1249.7790;-43.4500;-38.7300;-4.7200
1249.9780;-43.3400;-38.5600;-4.7800
1250.1770;-43.2600;-38.4300;-4.8300
1250.3760;-43.1600;-38.2700;-4.8900
1250.5750;-43.0900;-38.1200;-4.9700
1250.7740;-43.0200;-37.9800;-5.0400
1250.9740;-42.9700;-37.8500;-5.1200
1251.1730;-42.9300;-37.7200;-5.2100
1251.3720;-42.8900;-37.5600;-5.3300
1251.5710;-42.8800;-37.4400;-5.4400
1251.7700;-42.8500;-37.2900;-5.5600
1251.9690;-42.8400;-37.1500;-5.6900
1252.1680;-42.8500;-37.0100;-5.8400
1252.3670;-42.8500;-36.8600;-5.9900
1252.5660;-42.8900;-36.7300;-6.1600
1252.7660;-42.9200;-36.5700;-6.3500
1252.9650;-42.9800;-36.4300;-6.5500
1253.1640;-43.0500;-36.2900;-6.7600
1253.3630;-43.1200;-36.1200;-7.0000
1253.5620;-43.2400;-35.9900;-7.2500
1253.7610;-43.3300;-35.8000;-7.5300
1253.9600;-43.4600;-35.6800;-7.7800
1254.1590;-43.6000;-35.5100;-8.0900
1254.3580;-43.7400;-35.3500;-8.3900
1254.5580;-43.9100;-35.2100;-8.7000
1254.7570;-44.0500;-35.0400;-9.0100
1254.9560;-44.2000;-34.8900;-9.3100
1255.1550;-44.3500;-34.7300;-9.6200
1255.3540;-44.4600;-34.5700;-9.8900
1255.5530;-44.5700;-34.4300;-10.1400
1255.7520;-44.6100;-34.2700;-10.3400
1255.9510;-44.6200;-34.1300;-10.4900
1256.1500;-44.5800;-33.9700;-10.6100
1256.3500;-44.4700;-33.8400;-10.6300
1256.5490;-44.3400;-33.7100;-10.6300
1256.7480;-44.1100;-33.5600;-10.5500
1256.9470;-43.8500;-33.4300;-10.4200
1257.1460;-43.5500;-33.2900;-10.2600
1257.3450;-43.2000;-33.1500;-10.0500
1257.5440;-42.8500;-33.0300;-9.8200
1257.7430;-42.4500;-32.8800;-9.5700
1257.9430;-42.0300;-32.7500;-9.2800
1258.1420;-41.6100;-32.6100;-9.0000
1258.3410;-41.1600;-32.4700;-8.6900
1258.5400;-40.7500;-32.3500;-8.4000
1258.7390;-40.2900;-32.2000;-8.0900
1258.9380;-39.8600;-32.0700;-7.7900
1259.1370;-39.4200;-31.9200;-7.5000
1259.3360;-38.9900;-31.7800;-7.2100
1259.5350;-38.5800;-31.6400;-6.9400
1259.7350;-38.1500;-31.4900;-6.6600
1259.9340;-37.7400;-31.3500;-6.3900
1260.1330;-37.3500;-31.2000;-6.1500
1260.3320;-36.9600;-31.0600;-5.9000
1260.5310;-36.6100;-30.9200;-5.6900
1260.7300;-36.2400;-30.7700;-5.4700
1260.9290;-35.8400;-30.6400;-5.2000
1261.1280;-35.5600;-30.4900;-5.0700
1261.3270;-35.2600;-30.3600;-4.9000
1261.5270;-34.9700;-30.2300;-4.7400
1261.7260;-34.6900;-30.1000;-4.5900
1261.9250;-34.4500;-29.9700;-4.4800
1262.1240;-34.2000;-29.8300;-4.3700
1262.3230;-33.9800;-29.7100;-4.2700
1262.5220;-33.7700;-29.5900;-4.1800
1262.7210;-33.5700;-29.4600;-4.1100
1262.9200;-33.4100;-29.3500;-4.0600
1263.1200;-33.2400;-29.2200;-4.0200
1263.3190;-33.1000;-29.1000;-4.0000
1263.5180;-32.9800;-28.9800;-4.0000
1263.7170;-32.8700;-28.8600;-4.0100
1263.9160;-32.7800;-28.7400;-4.0400
1264.1150;-32.6900;-28.6000;-4.0900
1264.3140;-32.6400;-28.4800;-4.1600
1264.5130;-32.6000;-28.3500;-4.2500
1264.7120;-32.5700;-28.2200;-4.3500
1264.9120;-32.5700;-28.1000;-4.4700
1265.1110;-32.5700;-27.9600;-4.6100
1265.3100;-32.6100;-27.8300;-4.7800
1265.5090;-32.6600;-27.7000;-4.9600
1265.7080;-32.7200;-27.5700;-5.1500
1265.9070;-32.8100;-27.4400;-5.3700
1266.1060;-32.9000;-27.3000;-5.6000
1266.3050;-33.0300;-27.1800;-5.8500
1266.5040;-33.1600;-27.0500;-6.1100
1266.7040;-33.3100;-26.9300;-6.3800
1266.9030;-33.4700;-26.8000;-6.6700
1267.1020;-33.6300;-26.6700;-6.9600
1267.3010;-33.8200;-26.5600;-7.2600
1267.5000;-33.9900;-26.4300;-7.5600
1267.6990;-34.1700;-26.3200;-7.8500
1267.8980;-34.3300;-26.2000;-8.1300
1268.0970;-34.4800;-26.0700;-8.4100
1268.2970;-34.6200;-25.9700;-8.6500
1268.4960;-34.7100;-25.8600;-8.8500
1268.6950;-34.7600;-25.7500;-9.0100
1268.8940;-34.7700;-25.6200;-9.1500
1269.0930;-34.7100;-25.5100;-9.2000
1269.2920;-34.6100;-25.3900;-9.2200
1269.4910;-34.4400;-25.2800;-9.1600
1269.6900;-34.2100;-25.1700;-9.0400
